Site,Date,WidthInterval_m,Depth_cm,Velocity_ft/s,Depth_m,Velocity_m/s,Discharge
WET,2019-03-18,0.1,0,0,,,
WET,2019-03-18,0.2,2.5,0,,,
WET,2019-03-18,0.3,3,0,,,
WET,2019-03-18,0.4,6.5,0,,,
WET,2019-03-18,0.5,11,0,,,
WET,2019-03-18,0.6,16,0.2,,,
WET,2019-03-18,0.7,15,0.2,,,
WET,2019-03-18,0.8,14,0.4,,,
WET,2019-03-18,0.9,16,0.4,,,
WET,2019-03-18,1,14,0.4,,,
WET,2019-03-18,1.1,14,0.4,,,
WET,2019-03-18,1.2,11,0.6,,,
WET,2019-03-18,1.3,12,0.6,,,
WET,2019-03-18,1.4,13,0.8,,,
WET,2019-03-18,1.5,18,0.6,,,
WET,2019-03-18,1.6,22,0.9,,,
WET,2019-03-18,1.7,23,0.9,,,
WET,2019-03-18,1.8,24,0.2,,,
WET,2019-03-18,1.9,24,0,,,
WET,2019-03-18,2,0,0,,,
WET,2019-04-01,0.1,0,0,,,
WET,2019-04-01,0.2,3,0,,,
WET,2019-04-01,0.3,8,0,,,
WET,2019-04-01,0.4,10,0,,,
WET,2019-04-01,0.5,14,0,,,
WET,2019-04-01,0.6,17,0,,,
WET,2019-04-01,0.7,18,0,,,
WET,2019-04-01,0.8,16,0.2,,,
WET,2019-04-01,0.9,12,0.4,,,
WET,2019-04-01,1,10,0.4,,,
WET,2019-04-01,1.1,11,0.4,,,
WET,2019-04-01,1.2,13,0.4,,,
WET,2019-04-01,1.3,12,0.6,,,
WET,2019-04-01,1.4,12,0.4,,,
WET,2019-04-01,1.5,13,0.4,,,
WET,2019-04-01,1.6,16,0.6,,,
WET,2019-04-01,1.7,19,0.8,,,
WET,2019-04-01,1.8,20,0.8,,,
WET,2019-04-01,1.9,23,0,,,
WET,2019-04-01,2,6,0,,,
