"date","runoff_m3s","Site"
"2013-01-01",NA,"wetland"
"2013-01-02",0.000546380017708333,"wetland"
"2013-01-03",8.8315e-05,"wetland"
"2013-01-04",0,"wetland"
"2013-01-05",9.1375e-06,"wetland"
"2013-01-06",1.1645e-05,"wetland"
"2013-01-07",2.5075e-06,"wetland"
"2013-01-08",0,"wetland"
"2013-01-09",0,"wetland"
"2013-01-10",0,"wetland"
"2013-01-11",0.000863345,"wetland"
"2013-01-12",0.000863345,"wetland"
"2013-01-13",0,"wetland"
"2013-01-14",0.00596984748229167,"wetland"
"2013-01-15",0.02922028,"wetland"
"2013-01-16",0.0282109900177083,"wetland"
"2013-01-17",0.0126086875354167,"wetland"
"2013-01-18",0.00767040003541667,"wetland"
"2013-01-19",2.227e-05,"wetland"
"2013-01-20",0,"wetland"
"2013-01-21",0,"wetland"
"2013-01-22",0,"wetland"
"2013-01-23",0,"wetland"
"2013-01-24",0,"wetland"
"2013-01-25",0,"wetland"
"2013-01-26",0.000506839306921659,"wetland"
"2013-01-27",0.000564733369884321,"wetland"
"2013-01-28",0.00111872379761887,"wetland"
"2013-01-29",0.0071364513260827,"wetland"
"2013-01-30",0.0379420075517095,"wetland"
"2013-01-31",0.0332945559425746,"wetland"
"2013-02-01",0.00142816998229167,"wetland"
"2013-02-02",0.000193658333333333,"wetland"
"2013-02-03",0.000310235833333333,"wetland"
"2013-02-04",0.0001165775,"wetland"
"2013-02-05",0,"wetland"
"2013-02-06",0,"wetland"
"2013-02-07",0.0001056125,"wetland"
"2013-02-08",0.00504887264166667,"wetland"
"2013-02-09",0.00495222764166667,"wetland"
"2013-02-10",0.001060375,"wetland"
"2013-02-11",0.00168028,"wetland"
"2013-02-12",0.0006288725,"wetland"
"2013-02-13",0.00120653248229167,"wetland"
"2013-02-14",0.00120653248229167,"wetland"
"2013-02-15",0.0004116975,"wetland"
"2013-02-16",0.0004116975,"wetland"
"2013-02-17",0,"wetland"
"2013-02-18",0,"wetland"
"2013-02-19",0.000200954166666667,"wetland"
"2013-02-20",0.000200954166666667,"wetland"
"2013-02-21",0,"wetland"
"2013-02-22",0.00011679,"wetland"
"2013-02-23",0.00057919,"wetland"
"2013-02-24",0.0004624,"wetland"
"2013-02-25",0,"wetland"
"2013-02-26",0.0134346180677083,"wetland"
"2013-02-27",0.0134346180677083,"wetland"
"2013-02-28",4.4455e-05,"wetland"
"2013-03-01",4.4455e-05,"wetland"
"2013-03-02",0,"wetland"
"2013-03-03",0,"wetland"
"2013-03-04",0,"wetland"
"2013-03-05",0.00419126498229167,"wetland"
"2013-03-06",0.00718394498229167,"wetland"
"2013-03-07",0.00321699501770833,"wetland"
"2013-03-08",0.000224315017708333,"wetland"
"2013-03-09",0,"wetland"
"2013-03-10",0,"wetland"
"2013-03-11",0.000433075,"wetland"
"2013-03-12",0.00808515751770833,"wetland"
"2013-03-13",0.00775268001770833,"wetland"
"2013-03-14",0.0001005975,"wetland"
"2013-03-15",0,"wetland"
"2013-03-16",0.000833425,"wetland"
"2013-03-17",0.0072535175,"wetland"
"2013-03-18",0.00964214492916667,"wetland"
"2013-03-19",0.00329880742916667,"wetland"
"2013-03-20",7.6755e-05,"wetland"
"2013-03-21",0,"wetland"
"2013-03-22",0,"wetland"
"2013-03-23",0,"wetland"
"2013-03-24",0.0054223625,"wetland"
"2013-03-25",0.00717972333333333,"wetland"
"2013-03-26",0.00177151333333333,"wetland"
"2013-03-27",1.41525e-05,"wetland"
"2013-03-28",0,"wetland"
"2013-03-29",0,"wetland"
"2013-03-30",3.91e-06,"wetland"
"2013-03-31",0.00253542248229167,"wetland"
"2013-04-01",0.00253151248229167,"wetland"
"2013-04-02",0,"wetland"
"2013-04-03",0,"wetland"
"2013-04-04",0.00421718996458333,"wetland"
"2013-04-05",0.00496586996458333,"wetland"
"2013-04-06",0.00074868,"wetland"
"2013-04-07",0,"wetland"
"2013-04-08",0,"wetland"
"2013-04-09",0,"wetland"
"2013-04-10",0,"wetland"
"2013-04-11",0,"wetland"
"2013-04-12",0.0168537999291667,"wetland"
"2013-04-13",0.0168537999291667,"wetland"
"2013-04-14",1.632e-05,"wetland"
"2013-04-15",0.00380311248229167,"wetland"
"2013-04-16",0.00378785498229167,"wetland"
"2013-04-17",2.3885e-05,"wetland"
"2013-04-18",2.28225e-05,"wetland"
"2013-04-19",0.00634665241145833,"wetland"
"2013-04-20",0.00634665241145833,"wetland"
"2013-04-21",0,"wetland"
"2013-04-22",0,"wetland"
"2013-04-23",0,"wetland"
"2013-04-24",8.7805e-05,"wetland"
"2013-04-25",8.7805e-05,"wetland"
"2013-04-26",0,"wetland"
"2013-04-27",0,"wetland"
"2013-04-28",0.00367888503541667,"wetland"
"2013-04-29",0.00423321253541667,"wetland"
"2013-04-30",0.000588285,"wetland"
"2013-05-01",0.000369707517708333,"wetland"
"2013-05-02",0.000335750017708333,"wetland"
"2013-05-03",0,"wetland"
"2013-05-04",0,"wetland"
"2013-05-05",0.00259326508854167,"wetland"
"2013-05-06",0.0210335901239583,"wetland"
"2013-05-07",0.02578679,"wetland"
"2013-05-08",0.0121818598760417,"wetland"
"2013-05-09",0.00483994241145833,"wetland"
"2013-05-10",0.00270839748229167,"wetland"
"2013-05-11",0.00370680746458333,"wetland"
"2013-05-12",0.00100295748229167,"wetland"
"2013-05-13",0,"wetland"
"2013-05-14",0,"wetland"
"2013-05-15",0,"wetland"
"2013-05-16",0,"wetland"
"2013-05-17",0.00219699496458333,"wetland"
"2013-05-18",0.00669485501770833,"wetland"
"2013-05-19",0.00898526510625,"wetland"
"2013-05-20",0.00738203753541667,"wetland"
"2013-05-21",0.00289463248229167,"wetland"
"2013-05-22",0.009976619946875,"wetland"
"2013-05-23",0.0114922974822917,"wetland"
"2013-05-24",0.00151941753541667,"wetland"
"2013-05-25",3.74e-06,"wetland"
"2013-05-26",0,"wetland"
"2013-05-27",0,"wetland"
"2013-05-28",0,"wetland"
"2013-05-29",0,"wetland"
"2013-05-30",0,"wetland"
"2013-05-31",0,"wetland"
"2013-06-01",0.00010812,"wetland"
"2013-06-02",0.006546104840625,"wetland"
"2013-06-03",0.006733359840625,"wetland"
"2013-06-04",0.000295375,"wetland"
"2013-06-05",8.21525e-05,"wetland"
"2013-06-06",0.0175193499822917,"wetland"
"2013-06-07",0.0204642600177083,"wetland"
"2013-06-08",0.005011855053125,"wetland"
"2013-06-09",0.003987605053125,"wetland"
"2013-06-10",0.00458804501770833,"wetland"
"2013-06-11",0.00385402753541667,"wetland"
