"Date","Depth","TP_interp"
2013-03-07,0.1,27
2013-03-07,1,32.3
2013-03-07,1.6,30.7
2013-03-07,2.8,35.6
2013-03-07,3.8,27
2013-03-07,5,35.6
2013-03-07,5.2,NA
2013-03-07,5.5,NA
2013-03-07,5.8,NA
2013-03-07,6,NA
2013-03-07,6.2,42.2
2013-03-07,8,47.9
2013-03-07,9,NA
2013-03-07,9.3,NA
2013-04-04,0.1,27
2013-04-04,1,32.3
2013-04-04,1.6,30.7
2013-04-04,2.8,35.6
2013-04-04,3.8,27
2013-04-04,5,35.6
2013-04-04,5.2,NA
2013-04-04,5.5,NA
2013-04-04,5.8,NA
2013-04-04,6,NA
2013-04-04,6.2,42.2
2013-04-04,8,47.9
2013-04-04,9,NA
2013-04-04,9.3,NA
2013-04-11,0.1,27
2013-04-11,1,31.1
2013-04-11,1.6,60.3
2013-04-11,2.8,45.2
2013-04-11,3.8,27
2013-04-11,5,30.1
2013-04-11,5.2,NA
2013-04-11,5.5,NA
2013-04-11,5.8,NA
2013-04-11,6,NA
2013-04-11,6.2,52.2
2013-04-11,8,41.1
2013-04-11,9,NA
2013-04-11,9.3,NA
2013-04-18,0.1,26
2013-04-18,1,32.1
2013-04-18,1.6,36.1
2013-04-18,2.8,24.8
2013-04-18,3.8,35
2013-04-18,5,26.4
2013-04-18,5.2,NA
2013-04-18,5.5,NA
2013-04-18,5.8,NA
2013-04-18,6,NA
2013-04-18,6.2,24
2013-04-18,8,30.3
2013-04-18,9,NA
2013-04-18,9.3,NA
2013-04-25,0.1,27.9
2013-04-25,1,27.9
2013-04-25,1.6,31.1
2013-04-25,2.8,49.8
2013-04-25,3.8,24
2013-04-25,5,24
2013-04-25,5.2,NA
2013-04-25,5.5,NA
2013-04-25,5.8,NA
2013-04-25,6,NA
2013-04-25,6.2,33.4
2013-04-25,8,39.6
2013-04-25,9,NA
2013-04-25,9.3,NA
2013-04-30,0.1,31.9
2013-04-30,1,49.35
2013-04-30,1.6,38.75
2013-04-30,2.8,36.7
2013-04-30,3.8,21.2
2013-04-30,5,23.8
2013-04-30,5.2,NA
2013-04-30,5.5,NA
2013-04-30,5.8,NA
2013-04-30,6,NA
2013-04-30,6.2,25.9
2013-04-30,8,34.25
2013-04-30,9,NA
2013-04-30,9.3,NA
2013-05-02,0.1,35.9
2013-05-02,1,70.8
2013-05-02,1.6,46.4
2013-05-02,2.8,23.6
2013-05-02,3.8,18.4
2013-05-02,5,23.6
2013-05-02,5.2,NA
2013-05-02,5.5,NA
2013-05-02,5.8,NA
2013-05-02,6,NA
2013-05-02,6.2,18.4
2013-05-02,8,28.9
2013-05-02,9,NA
2013-05-02,9.3,NA
2013-05-09,0.1,21.9
2013-05-09,1,20.2
2013-05-09,1.6,26.3
2013-05-09,2.8,31.5
2013-05-09,3.8,21.9
2013-05-09,5,35.9
2013-05-09,5.2,NA
2013-05-09,5.5,NA
2013-05-09,5.8,NA
2013-05-09,6,NA
2013-05-09,6.2,28
2013-05-09,8,24.5
2013-05-09,9,NA
2013-05-09,9.3,NA
2013-05-14,0.1,22.3
2013-05-14,1,22.3
2013-05-14,1.6,26.6333333333333
2013-05-14,2.8,27.0333333333333
2013-05-14,3.8,32.0666666666667
2013-05-14,5,31.9333333333333
2013-05-14,5.2,NA
2013-05-14,5.5,NA
2013-05-14,5.8,NA
2013-05-14,6,NA
2013-05-14,6.2,28.9
2013-05-14,8,24.0333333333333
2013-05-14,9,NA
2013-05-14,9.3,NA
2013-05-15,0.1,22.7
2013-05-15,1,24.4
2013-05-15,1.6,26.9666666666667
