"Date","Depth","Temp_interp","DO_mgL_interp","Chla_interp","Turb_NTU_interp","SpCond_uScm_interp"
2013-03-07,0.1,3.3751,12.17279,1.1863,3.278,35.0219956266173
2013-03-07,1,3.3699,12.1779,1.8885,3.5466,34.7196746700336
2013-03-07,1.6,3.367,12.16648,3.4119,3.2612,35.0911104571039
2013-03-07,2.8,3.3651,12.14497,3.4873,3.2277,35.3337074357204
2013-03-07,3.8,3.365,12.14708,4.4197,3.3116,34.9561115357511
2013-03-07,5,3.3616,12.15775,4.0031,3.278,34.9396826243088
2013-03-07,5.2,3.3618,12.15232,4.3046,3.2445,34.9400567959953
2013-03-07,5.5,3.3615,12.14006,3.8087,3.5298,34.7336858502826
2013-03-07,5.8,3.3613,12.16016,3.4913,3.2612,34.733022279856
2013-03-07,6,3.3605,12.14947,3.7531,3.5802,35.0586698445189
2013-03-07,6.2,3.3595,12.15285,3.4278,3.5466,34.7562452224769
2013-03-07,8,3.3626,12.15036,4.1102,3.5969,34.7443778068271
2013-03-07,9,3.362,12.16218,3.5508,3.6305,34.8735772885674
2013-03-07,9.3,3.364,12.15585,3.6817,3.5466,34.7225200953588
2013-04-04,0.1,8.3102,11.40901,1.3132,1.7842,34.6676138429601
2013-04-04,1,8.3011,11.40245,2.2138,2.1031,34.5373307646956
2013-04-04,1.6,8.2617,11.38781,4.4276,2.1031,34.4303596625758
2013-04-04,2.8,7.8328,11.53483,4.4911,2.0695,34.7979906398165
2013-04-04,3.8,7.0858,11.48425,4.987,2.0863,34.5726486358861
2013-04-04,5,6.2069,11.47178,5.2092,1.7674,34.5657470202212
2013-04-04,5.2,6.1859,11.46528,5.5781,2.0527,34.634766412255
2013-04-04,5.5,6.1198,11.48851,6.2526,1.8849,34.4795645111863
2013-04-04,5.8,6.0786,11.49233,7.0103,2.1199,34.4593667103006
2013-04-04,6,6.0669,11.42266,6.5144,1.8177,34.6262626085409
2013-04-04,6.2,6.0558,11.41507,6.685,2.0192,34.3233853748786
2013-04-04,8,5.8896,10.97194,5.3361,2.0192,34.7426191751648
2013-04-04,9,5.8764,10.85436,5.7805,2.2877,34.7808826188216
2013-04-04,9.3,5.8753,10.85707,5.1933,2.0359,34.6622153896541
2013-04-11,0.1,15.412,10.00945,0.6943,1.3813,35.9254149868792
2013-04-11,1,12.3102,10.9528,0.7459,1.3981,34.6595891618229
2013-04-11,1.6,11.164,11.1126,1.1307,1.3142,34.5402363685492
2013-04-11,2.8,8.5716,11.45543,3.0192,1.3813,34.3766428827616
2013-04-11,3.8,7.4737,11.29584,5.5623,1.6163,34.4225376993804
2013-04-11,5,6.9246,10.97511,7.0143,1.5492,34.319732122858
2013-04-11,5.2,6.8642,10.94902,7.1254,1.331,34.1671641374527
2013-04-11,5.5,6.7797,10.7365,7.5023,1.3142,34.2076126147937
2013-04-11,5.8,6.694,10.635,8.2283,1.6163,34.3087010579139
2013-04-11,6,6.6431,10.60871,7.9863,1.5828,34.1222773529978
2013-04-11,6.2,6.5965,10.72217,7.8554,1.5492,34.2311094573628
2013-04-11,8,6.3573,10.4021,6.1415,1.4988,34.6235815280374
2013-04-11,9,6.3098,10.01334,7.0143,1.8849,34.7556048191434
2013-04-11,9.3,6.3098,10.01334,7.0143,1.8849,34.7556048191434
2013-04-18,0.1,16.8891,8.66629,2.0035,0.9449,35.8945342818348
2013-04-18,1,16.3006,8.74981,2.2614,1.6163,36.1002521990211
2013-04-18,1.6,15.2504,9.27411,2.1821,1.566,35.9563027788354
2013-04-18,2.8,10.041,11.07551,1.8607,1.2974,35.9062968170463
2013-04-18,3.8,7.9945,11.00519,2.3685,1.2974,34.7233891485711
