"Date","Depth","kd_interp"
2014-07-02,0.1,-1.18608429404516
2014-07-02,1,-1.18608429404516
2014-07-02,1.6,-1.18608429404516
2014-07-02,2.8,-1.18608429404516
2014-07-02,3.8,-1.18608429404516
2014-07-02,5,-1.18608429404516
2014-07-02,5.2,-1.18608429404516
2014-07-02,5.5,-1.18608429404516
2014-07-02,5.8,-1.18608429404516
2014-07-02,6,-1.18608429404516
2014-07-02,6.2,-1.18608429404516
2014-07-02,8,-1.18608429404516
2014-07-02,9,-1.18608429404516
2014-07-02,9.3,-1.18608429404516
2014-07-07,0.1,NA
2014-07-07,1,NA
2014-07-07,1.6,NA
2014-07-07,2.8,NA
2014-07-07,3.8,NA
2014-07-07,5,NA
2014-07-07,5.2,NA
2014-07-07,5.5,NA
2014-07-07,5.8,NA
2014-07-07,6,NA
2014-07-07,6.2,NA
2014-07-07,8,NA
2014-07-07,9,NA
2014-07-07,9.3,NA
2014-07-09,0.1,NA
2014-07-09,1,NA
2014-07-09,1.6,NA
2014-07-09,2.8,NA
2014-07-09,3.8,NA
2014-07-09,5,NA
2014-07-09,5.2,NA
2014-07-09,5.5,NA
2014-07-09,5.8,NA
2014-07-09,6,NA
2014-07-09,6.2,NA
2014-07-09,8,NA
2014-07-09,9,NA
2014-07-09,9.3,NA
2014-07-14,0.1,NA
2014-07-14,1,NA
2014-07-14,1.6,NA
2014-07-14,2.8,NA
2014-07-14,3.8,NA
2014-07-14,5,NA
2014-07-14,5.2,NA
2014-07-14,5.5,NA
2014-07-14,5.8,NA
2014-07-14,6,NA
2014-07-14,6.2,NA
2014-07-14,8,NA
2014-07-14,9,NA
2014-07-14,9.3,NA
2014-07-16,0.1,NA
2014-07-16,1,NA
2014-07-16,1.6,NA
2014-07-16,2.8,NA
2014-07-16,3.8,NA
2014-07-16,5,NA
2014-07-16,5.2,NA
2014-07-16,5.5,NA
2014-07-16,5.8,NA
2014-07-16,6,NA
2014-07-16,6.2,NA
2014-07-16,8,NA
2014-07-16,9,NA
2014-07-16,9.3,NA
2014-07-21,0.1,NA
2014-07-21,1,NA
2014-07-21,1.6,NA
2014-07-21,2.8,NA
2014-07-21,3.8,NA
2014-07-21,5,NA
2014-07-21,5.2,NA
2014-07-21,5.5,NA
2014-07-21,5.8,NA
2014-07-21,6,NA
2014-07-21,6.2,NA
2014-07-21,8,NA
2014-07-21,9,NA
2014-07-21,9.3,NA
2014-07-23,0.1,NA
2014-07-23,1,NA
2014-07-23,1.6,NA
2014-07-23,2.8,NA
2014-07-23,3.8,NA
2014-07-23,5,NA
2014-07-23,5.2,NA
2014-07-23,5.5,NA
2014-07-23,5.8,NA
2014-07-23,6,NA
2014-07-23,6.2,NA
2014-07-23,8,NA
2014-07-23,9,NA
2014-07-23,9.3,NA
2014-07-28,0.1,NA
2014-07-28,1,NA
2014-07-28,1.6,NA
2014-07-28,2.8,NA
2014-07-28,3.8,NA
2014-07-28,5,NA
2014-07-28,5.2,NA
2014-07-28,5.5,NA
2014-07-28,5.8,NA
2014-07-28,6,NA
2014-07-28,6.2,NA
2014-07-28,8,NA
2014-07-28,9,NA
2014-07-28,9.3,NA
2014-07-30,0.1,NA
2014-07-30,1,NA
2014-07-30,1.6,NA
2014-07-30,2.8,NA
2014-07-30,3.8,NA
2014-07-30,5,NA
2014-07-30,5.2,NA
2014-07-30,5.5,NA
2014-07-30,5.8,NA
2014-07-30,6,NA
2014-07-30,6.2,NA
2014-07-30,8,NA
2014-07-30,9,NA
2014-07-30,9.3,NA
2014-08-02,0.1,NA
2014-08-02,1,NA
2014-08-02,1.6,NA
2014-08-02,2.8,NA
2014-08-02,3.8,NA
2014-08-02,5,NA
2014-08-02,5.2,NA
2014-08-02,5.5,NA
2014-08-02,5.8,NA
2014-08-02,6,NA
2014-08-02,6.2,NA
2014-08-02,8,NA
2014-08-02,9,NA
2014-08-02,9.3,NA
2014-08-04,0.1,NA
2014-08-04,1,NA
2014-08-04,1.6,NA
2014-08-04,2.8,NA
2014-08-04,3.8,NA
2014-08-04,5,NA
2014-08-04,5.2,NA
2014-08-04,5.5,NA
2014-08-04,5.8,NA
2014-08-04,6,NA
2014-08-04,6.2,NA
2014-08-04,8,NA
2014-08-04,9,NA
2014-08-04,9.3,NA
2014-08-06,0.1,NA
2014-08-06,1,NA
2014-08-06,1.6,NA
2014-08-06,2.8,NA
2014-08-06,3.8,NA
2014-08-06,5,NA
2014-08-06,5.2,NA
2014-08-06,5.5,NA
2014-08-06,5.8,NA
2014-08-06,6,NA
2014-08-06,6.2,NA
2014-08-06,8,NA
2014-08-06,9,NA
2014-08-06,9.3,NA
2014-08-09,0.1,NA
2014-08-09,1,NA
2014-08-09,1.6,NA
2014-08-09,2.8,NA
2014-08-09,3.8,NA
2014-08-09,5,NA
2014-08-09,5.2,NA
2014-08-09,5.5,NA
2014-08-09,5.8,NA
2014-08-09,6,NA
2014-08-09,6.2,NA
2014-08-09,8,NA
2014-08-09,9,NA
2014-08-09,9.3,NA
2014-08-10,0.1,NA
2014-08-10,1,NA
2014-08-10,1.6,NA
2014-08-10,2.8,NA
2014-08-10,3.8,NA
2014-08-10,5,NA
2014-08-10,5.2,NA
2014-08-10,5.5,NA
2014-08-10,5.8,NA
2014-08-10,6,NA
2014-08-10,6.2,NA
2014-08-10,8,NA
2014-08-10,9,NA
2014-08-10,9.3,NA
2014-08-11,0.1,NA
2014-08-11,1,NA
2014-08-11,1.6,NA
2014-08-11,2.8,NA
2014-08-11,3.8,NA
2014-08-11,5,NA
2014-08-11,5.2,NA
2014-08-11,5.5,NA
2014-08-11,5.8,NA
2014-08-11,6,NA
2014-08-11,6.2,NA
2014-08-11,8,NA
2014-08-11,9,NA
2014-08-11,9.3,NA
2014-08-13,0.1,NA
2014-08-13,1,NA
2014-08-13,1.6,NA
2014-08-13,2.8,NA
2014-08-13,3.8,NA
2014-08-13,5,NA
2014-08-13,5.2,NA
2014-08-13,5.5,NA
2014-08-13,5.8,NA
