"Date","Depth","NH4_interp","NO3NO2_interp","SRP_interp","NO3NO2inf_interp","NH4inf_interp","SRPinf_interp"
2013-06-27,0.1,7,6,3,91,0,15
2013-06-27,1,5,9,4,91,0,15
2013-06-27,1.6,4,8,4,91,0,15
2013-06-27,2.8,0,8,3,91,0,15
2013-06-27,3.8,12,20,2,91,0,15
2013-06-27,5,33,18,3,91,0,15
2013-06-27,5.2,NA,NA,NA,91,0,15
2013-06-27,5.5,NA,NA,NA,91,0,15
2013-06-27,5.8,NA,NA,NA,91,0,15
2013-06-27,6,NA,NA,NA,91,0,15
2013-06-27,6.2,34,16,4,91,0,15
2013-06-27,8,38,17,6,91,0,15
2013-06-27,9,NA,NA,NA,91,0,15
2013-06-27,9.3,NA,NA,NA,91,0,15
2013-07-03,0.1,20,26,4,30,12,11
2013-07-03,1,25,13,4,30,12,11
2013-07-03,1.6,5,9,4,30,12,11
2013-07-03,2.8,6,15,3,30,12,11
2013-07-03,3.8,16,42,2,30,12,11
2013-07-03,5,43,24,8,30,12,11
2013-07-03,5.2,NA,NA,NA,30,12,11
2013-07-03,5.5,NA,NA,NA,30,12,11
2013-07-03,5.8,NA,NA,NA,30,12,11
2013-07-03,6,NA,NA,NA,30,12,11
2013-07-03,6.2,31,18,0,30,12,11
2013-07-03,8,42,16,2,30,12,11
2013-07-03,9,NA,NA,NA,30,12,11
2013-07-03,9.3,NA,NA,NA,30,12,11
2013-07-11,0.1,25,18,4,31,11,10
2013-07-11,1,3,4,22,31,11,10
2013-07-11,1.6,2,4,4,31,11,10
2013-07-11,2.8,4,3,3,31,11,10
2013-07-11,3.8,9,9,4,31,11,10
2013-07-11,5,84,21,3,31,11,10
2013-07-11,5.2,NA,NA,NA,31,11,10
2013-07-11,5.5,NA,NA,NA,31,11,10
2013-07-11,5.8,NA,NA,NA,31,11,10
2013-07-11,6,NA,NA,NA,31,11,10
2013-07-11,6.2,78,22,0,31,11,10
2013-07-11,8,176,27,3,31,11,10
2013-07-11,9,NA,NA,NA,31,11,10
2013-07-11,9.3,NA,NA,NA,31,11,10
2013-07-15,0.1,21.75,15.75,4.5,80,16,10.5
2013-07-15,1,3.75,4.25,18,80,16,10.5
2013-07-15,1.6,2.5,4.75,4.5,80,16,10.5
2013-07-15,2.8,6.75,5.25,2.75,80,16,10.5
2013-07-15,3.8,29.75,10.75,4.25,80,16,10.5
2013-07-15,5,67.75,20.75,6.25,80,16,10.5
2013-07-15,5.2,NA,NA,NA,80,16,10.5
2013-07-15,5.5,NA,NA,NA,80,16,10.5
2013-07-15,5.8,NA,NA,NA,80,16,10.5
2013-07-15,6,NA,NA,NA,80,16,10.5
2013-07-15,6.2,97.5,21.5,0.75,80,16,10.5
2013-07-15,8,139.5,24,4.75,80,16,10.5
2013-07-15,9,NA,NA,NA,80,16,10.5
2013-07-15,9.3,NA,NA,NA,80,16,10.5
2013-07-18,0.1,18.5,13.5,5,129,21,11
2013-07-18,1,4.5,4.5,14,129,21,11
2013-07-18,1.6,3,5.5,5,129,21,11
2013-07-18,2.8,9.5,7.5,2.5,129,21,11
2013-07-18,3.8,50.5,12.5,4.5,129,21,11
2013-07-18,5,51.5,20.5,9.5,129,21,11
2013-07-18,5.2,NA,NA,NA,129,21,11
2013-07-18,5.5,NA,NA,NA,129,21,11
2013-07-18,5.8,NA,NA,NA,129,21,11
2013-07-18,6,NA,NA,NA,129,21,11
2013-07-18,6.2,117,21,1.5,129,21,11
2013-07-18,8,103,21,6.5,129,21,11
2013-07-18,9,NA,NA,NA,129,21,11
2013-07-18,9.3,NA,NA,NA,129,21,11
2013-07-22,0.1,15.25,11.25,5.5,93.5,17,11.5
2013-07-22,1,5.25,4.75,10,93.5,17,11.5
2013-07-22,1.6,3.5,6.25,5.5,93.5,17,11.5
2013-07-22,2.8,12.25,9.75,2.25,93.5,17,11.5
2013-07-22,3.8,71.25,14.25,4.75,93.5,17,11.5
2013-07-22,5,35.25,20.25,12.75,93.5,17,11.5
2013-07-22,5.2,NA,NA,NA,93.5,17,11.5
2013-07-22,5.5,NA,NA,NA,93.5,17,11.5
2013-07-22,5.8,NA,NA,NA,93.5,17,11.5
2013-07-22,6,NA,NA,NA,93.5,17,11.5
2013-07-22,6.2,136.5,20.5,2.25,93.5,17,11.5
2013-07-22,8,66.5,18,8.25,93.5,17,11.5
2013-07-22,9,NA,NA,NA,93.5,17,11.5
2013-07-22,9.3,NA,NA,NA,93.5,17,11.5
2013-07-25,0.1,12,9,6,58,13,12
2013-07-25,1,6,5,6,58,13,12
2013-07-25,1.6,4,7,6,58,13,12
2013-07-25,2.8,15,12,2,58,13,12
2013-07-25,3.8,92,16,5,58,13,12
2013-07-25,5,19,20,16,58,13,12
2013-07-25,5.2,NA,NA,NA,58,13,12
2013-07-25,5.5,NA,NA,NA,58,13,12
2013-07-25,5.8,NA,NA,NA,58,13,12
2013-07-25,6,NA,NA,NA,58,13,12
2013-07-25,6.2,156,20,3,58,13,12
2013-07-25,8,30,15,10,58,13,12
2013-07-25,9,NA,NA,NA,58,13,12
2013-07-25,9.3,NA,NA,NA,58,13,12
2013-07-29,0.1,3,6,3,66,0,13
2013-07-29,1,7,4,3,66,0,13
2013-07-29,1.6,3,4,4,66,0,13
2013-07-29,2.8,3,4,4,66,0,13
2013-07-29,3.8,7,6,4,66,0,13
2013-07-29,5,14,6,0,66,0,13
