Chla_sqrt,Chla_ARlag1_sqrt,Turb_NTU_log,Kd,DOC_log,TN_inf_log,NH4_inf_log,flow_min,Temp_inf_min,RelHum_max_log,Rain_sum_log,WindSpeed_max_log,ShortWave_mean
1,0.524981244,0.321858043,0.319838057,0.378126957,0.356005322,-0.219042434,-0.453220065,-0.184512053,0.203778384,0.119141613,-0.173909014,-0.410269955
0.524981244,1,0.269088589,0.096181201,0.244403249,0.239890336,-0.222723199,-0.474847585,-0.21694484,-0.022718664,-0.035669075,-0.23621991,-0.276042423
0.321858043,0.269088589,1,0.087208666,0.441960338,-0.125148675,-0.432981958,-0.166080472,-0.254993008,0.026443746,0.004613414,-0.077988517,-0.18507792
0.319838057,0.096181201,0.087208666,1,0.377836819,0.034493854,-0.172680033,-0.452615455,0.015650652,-0.103240655,-0.134092644,0.232519969,-0.196410986
0.378126957,0.244403249,0.441960338,0.377836819,1,0.229065033,-0.491503946,-0.443698773,-0.155414845,0.030132863,-0.153719832,0.024127289,-0.292591083
0.356005322,0.239890336,-0.125148675,0.034493854,0.229065033,1,0.026539938,-0.492762389,0.303701764,0.068124523,0.128392652,0.009111801,0.034431319
-0.219042434,-0.222723199,-0.432981958,-0.172680033,-0.491503946,0.026539938,1,0.360778949,0.308867322,-0.031026166,0.046431276,0.009994409,0.320549973
-0.453220065,-0.474847585,-0.166080472,-0.452615455,-0.443698773,-0.492762389,0.360778949,1,0.222168194,0.030205056,0.022956122,0.24251967,0.2041059
-0.184512053,-0.21694484,-0.254993008,0.015650652,-0.155414845,0.303701764,0.308867322,0.222168194,1,-0.189029681,0.177934152,0.001189109,0.4748171
0.203778384,-0.022718664,0.026443746,-0.103240655,0.030132863,0.068124523,-0.031026166,0.030205056,-0.189029681,1,0.37570497,0.13396491,-0.390122282
0.119141613,-0.035669075,0.004613414,-0.134092644,-0.153719832,0.128392652,0.046431276,0.022956122,0.177934152,0.37570497,1,-0.06773333,-0.295436474
-0.173909014,-0.23621991,-0.077988517,0.232519969,0.024127289,0.009111801,0.009994409,0.24251967,0.001189109,0.13396491,-0.06773333,1,0.036326905
-0.410269955,-0.276042423,-0.18507792,-0.196410986,-0.292591083,0.034431319,0.320549973,0.2041059,0.4748171,-0.390122282,-0.295436474,0.036326905,1
