,Chla_sqrt,Chla_ARlag1_sqrt,Temp_C,DO_mgL,SpCond_uScm,Turb_NTU_log,Kd,TP_log,TN_log,NH4_log,NO3NO2_log,SRP_log,DOC_log,TP_inf_log,TN_inf_log,NH4_inf_log,DOC_inf_log,NO3NO2_inf,SRP_inf,NH4NO3_SRP_inf,mean_flow,NO3NO2_load,SRP_load,TN_TP_log,NH4NO3NO2_SRP_log,TN_TP_inf_log,TN_load_log,TP_load_log,NH4_load_log,DOC_load_log,mean_wrt_log,flow_max_log,flow_min,flow_median,Temp_inf_mean,Temp_inf_max,Temp_inf_min,Total_chlorophyll_log,greens_log,cyano_log,diatoms_log,crypto_log,RelHum_max_log,AirTemp_max_log,AirTemp_mean_log,AirTemp_median_log,Rain_sum_log,WindSpeed_max_log,WindSpeed_mean_log,WindSpeed_median_log,RelHum_mean,RelHum_median,ShortWave_max,ShortWave_mean
Chla_sqrt,1,0.703931624,-0.188034188,-0.117216117,0.420634921,0.528747067,NA,-0.144100139,NA,0.62862184,0.109838943,0.753980624,NA,0.607017544,NA,0.838383612,NA,-0.724879403,-0.540422627,-0.564912281,0.354782609,-0.394736842,0.089473684,NA,-0.045694271,NA,NA,0.522807018,0.679245348,NA,-0.372173913,0.389384464,0.430809563,0.399739055,-0.296521739,-0.324771718,-0.266956522,NA,NA,NA,NA,NA,0.101053275,-0.114486339,-0.057997558,-0.077533578,0.218866385,-0.48962149,-0.39010989,-0.369352869,0.104395604,0.061660562,-0.442612943,-0.5
Chla_ARlag1_sqrt,0.703931624,1,-0.130940171,-0.221880342,0.45025641,0.441172216,NA,-0.066678066,NA,0.303775359,0.017859991,0.512562694,NA,0.329824561,NA,0.500840699,NA,-0.422115003,-0.350615656,-0.278947368,0.06,-0.415789474,-0.001754386,NA,-0.237258714,NA,NA,0.175438596,0.351031188,NA,-0.076521739,0.0648249,0.107049649,0.1278817,-0.123478261,-0.140618318,-0.156521739,NA,NA,NA,NA,NA,0.10531715,0.033510002,0.005811966,0.011282051,-0.077744759,-0.217777778,-0.235555556,-0.23965812,-0.015384615,-0.028376068,-0.254700855,-0.275897436
Temp_C,-0.188034188,-0.130940171,1,-0.615995116,-0.216727717,0.031192713,NA,0.356281488,NA,-0.223880683,0.182171905,-0.668403373,NA,-0.068421053,NA,-0.449753124,NA,0.897762263,0.613357713,0.9,-0.154782609,0.803508772,0.294736842,NA,0.434095574,NA,NA,-0.175438596,-0.34576572,NA,0.18,-0.175766842,-0.238903485,-0.218790799,0.66173913,0.555507657,0.708695652,NA,NA,NA,NA,NA,-0.021370783,0.634101671,0.721611722,0.730769231,0.329594644,-0.061660562,-0.214896215,-0.210622711,0.081196581,0.165445665,0.167277167,0.272893773
DO_mgL,-0.117216117,-0.221880342,-0.615995116,1,0.034188034,-0.028746226,NA,-0.39352771,NA,0.329236299,-0.112517941,0.439596827,NA,-0.229824561,NA,0.312911402,NA,-0.623080358,-0.301406441,-0.656140351,-0.044347826,-0.601754386,-0.405263158,NA,-0.114235677,NA,NA,-0.150877193,0.133391851,NA,0.029565217,-0.002610399,0.026979993,-0.023488475,-0.416521739,-0.306486983,-0.457391304,NA,NA,NA,NA,NA,-0.026866128,-0.279041371,-0.324175824,-0.332722833,-0.163178488,0.333943834,0.516483516,0.510989011,0.036019536,-0.000610501,-0.003052503,-0.073260073
SpCond_uScm,0.420634921,0.45025641,-0.216727717,0.034188034,1,-0.086544488,NA,-0.499771033,NA,-0.015803342,-0.316121835,0.387349663,NA,-0.09122807,NA,0.14231539,NA,-0.740675806,-0.365554167,-0.871929825,-0.265217391,-0.901754386,-0.464912281,NA,-0.444640405,NA,NA,-0.431578947,0.030715229,NA,0.253043478,-0.220143619,-0.238468324,-0.233579839,-0.322608696,-0.370483555,-0.360869565,NA,NA,NA,NA,NA,0.032666769,-0.462830108,-0.415750916,-0.392551893,-0.039499555,-0.13980464,-0.053113553,-0.027472527,0.048840049,0.058608059,-0.626373626,-0.688034188
Turb_NTU_log,0.528747067,0.441172216,0.031192713,-0.028746226,-0.086544488,1,NA,-0.185961419,NA,0.662995961,0.29342995,0.347593308,NA,0.393129344,NA,0.653615366,NA,-0.171077501,-0.135982989,0.039665517,0.498149176,0.111063447,0.457475627,NA,0.30375421,NA,NA,0.584405281,0.565702148,NA,-0.489868481,0.554296526,0.465649398,0.497929888,-0.110699817,-0.117608623,-0.058836517,NA,NA,NA,NA,NA,0.052607507,0.034561909,0.078899215,0.054740153,0.29646637,-0.23792089,-0.302752803,-0.307951589,-0.001529055,-0.020489331,-0.061467993,-0.111009361
Kd,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP_log,-0.144100139,-0.066678066,0.356281488,-0.39352771,-0.499771033,-0.185961419,NA,1,NA,-0.242317916,0.548301713,-0.293665094,NA,0.429824561,NA,-0.109473377,NA,0.446687186,0.187170764,0.575438596,0.11826087,0.684210526,0.396491228,NA,0.156415004,NA,NA,0.433333333,0.084247485,NA,-0.12,0.040896245,0.130113191,0.126141813,0.34,0.276012425,0.36173913,NA,NA,NA,NA,NA,0.058320611,0.366870229,0.335216001,0.348649065,0.019428976,0.127614106,0.008243016,-0.005495344,0.057395818,0.130667075,0.290642653,0.41825676
TN_log,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NH4_log,0.62862184,0.303775359,-0.223880683,0.329236299,-0.015803342,0.662995961,NA,-0.242317916,NA,1,0.216742595,0.5328482,NA,0.044004427,NA,0.845055021,NA,-0.440931092,-0.240545388,-0.251975514,0.516242517,0.00263389,0.374890399,NA,0.625330057,NA,NA,0.356435859,0.732982065,NA,-0.521510298,0.515817223,0.543936731,0.52964432,-0.251975514,-0.231444906,-0.105355616,NA,NA,NA,NA,NA,0.359683829,-0.047410027,0.04302021,0.02546094,0.19447688,-0.532045859,-0.410886901,-0.371378545,0.323968518,0.29148387,-0.232660318,-0.272168674
