Chla_sqrt,Chla_ARlag1_sqrt,TP_log,TN_log,NH4_inf_log,DOC_inf_log,SRP_inf,NH4NO3NO2_SRP_log,flow_min,Temp_inf_max,WindSpeed_median_log,ShortWave_max
1,0.663003663,0.187786268,0.439322246,-0.245829908,0.415750794,0.250923268,-0.137593835,-0.77794761,-0.364524504,-0.068376068,-0.602564103
0.663003663,1,0.222290087,0.310181655,-0.209093185,0.19029543,0.214726513,-0.232074934,-0.685094813,-0.427720964,0.045177045,-0.336385836
0.187786268,0.222290087,1,0.0557337,-0.308070252,0.100575779,-0.022553169,-0.216852935,-0.184540186,-0.027179722,0.079389317,-0.457709945
0.439322246,0.310181655,0.0557337,1,-0.35548206,0.397614677,0.404821267,-0.36850196,-0.348556627,-0.039083969,0.108380401,-0.402991914
-0.245829908,-0.209093185,-0.308070252,-0.35548206,1,-0.028457326,-0.014459343,0.188899253,0.289172152,0.440754888,-0.211848439,0.175723994
0.415750794,0.19029543,0.100575779,0.397614677,-0.028457326,1,-0.051139757,0.098088316,-0.189177276,0.028687482,-0.078338799,-0.375347712
0.250923268,0.214726513,-0.022553169,0.404821267,-0.014459343,-0.051139757,1,-0.377479304,-0.329653136,0.31876415,0.02975496,-0.2058307
-0.137593835,-0.232074934,-0.216852935,-0.36850196,0.188899253,0.098088316,-0.377479304,1,0.092397177,-0.301835215,-0.105182843,0.263874399
-0.77794761,-0.685094813,-0.184540186,-0.348556627,0.289172152,-0.189177276,-0.329653136,0.092397177,1,0.37528643,-0.062003677,0.478008641
-0.364524504,-0.427720964,-0.027179722,-0.039083969,0.440754888,0.028687482,0.31876415,-0.301835215,0.37528643,1,0.023507862,0.087009618
-0.068376068,0.045177045,0.079389317,0.108380401,-0.211848439,-0.078338799,0.02975496,-0.105182843,-0.062003677,0.023507862,1,0.407814408
-0.602564103,-0.336385836,-0.457709945,-0.402991914,0.175723994,-0.375347712,-0.2058307,0.263874399,0.478008641,0.087009618,0.407814408,1
