"Date","Depth","TNinf_interp"
2015-03-16,0.1,133
2015-03-16,1,133
2015-03-16,1.6,133
2015-03-16,2.8,133
2015-03-16,3.8,133
2015-03-16,5,133
2015-03-16,5.2,133
2015-03-16,5.5,133
2015-03-16,5.8,133
2015-03-16,6,133
2015-03-16,6.2,133
2015-03-16,8,133
2015-03-16,9,133
2015-03-16,9.3,133
2015-03-31,0.1,156
2015-03-31,1,156
2015-03-31,1.6,156
2015-03-31,2.8,156
2015-03-31,3.8,156
2015-03-31,5,156
2015-03-31,5.2,156
2015-03-31,5.5,156
2015-03-31,5.8,156
2015-03-31,6,156
2015-03-31,6.2,156
2015-03-31,8,156
2015-03-31,9,156
2015-03-31,9.3,156
2015-04-07,0.1,187
2015-04-07,1,187
2015-04-07,1.6,187
2015-04-07,2.8,187
2015-04-07,3.8,187
2015-04-07,5,187
2015-04-07,5.2,187
2015-04-07,5.5,187
2015-04-07,5.8,187
2015-04-07,6,187
2015-04-07,6.2,187
2015-04-07,8,187
2015-04-07,9,187
2015-04-07,9.3,187
2015-04-13,0.1,185
2015-04-13,1,185
2015-04-13,1.6,185
2015-04-13,2.8,185
2015-04-13,3.8,185
2015-04-13,5,185
2015-04-13,5.2,185
2015-04-13,5.5,185
2015-04-13,5.8,185
2015-04-13,6,185
2015-04-13,6.2,185
2015-04-13,8,185
2015-04-13,9,185
2015-04-13,9.3,185
2015-04-16,0.1,184
2015-04-16,1,184
2015-04-16,1.6,184
2015-04-16,2.8,184
2015-04-16,3.8,184
2015-04-16,5,184
2015-04-16,5.2,184
2015-04-16,5.5,184
2015-04-16,5.8,184
2015-04-16,6,184
2015-04-16,6.2,184
2015-04-16,8,184
2015-04-16,9,184
2015-04-16,9.3,184
2015-04-19,0.1,183
2015-04-19,1,183
2015-04-19,1.6,183
2015-04-19,2.8,183
2015-04-19,3.8,183
2015-04-19,5,183
2015-04-19,5.2,183
2015-04-19,5.5,183
2015-04-19,5.8,183
2015-04-19,6,183
2015-04-19,6.2,183
2015-04-19,8,183
2015-04-19,9,183
2015-04-19,9.3,183
2015-04-21,0.1,182
2015-04-21,1,182
2015-04-21,1.6,182
2015-04-21,2.8,182
2015-04-21,3.8,182
2015-04-21,5,182
2015-04-21,5.2,182
2015-04-21,5.5,182
2015-04-21,5.8,182
2015-04-21,6,182
