"Date","Depth","TPinf_interp"
2013-05-16,0.1,49.9
2013-05-16,1,49.9
2013-05-16,1.6,49.9
2013-05-16,2.8,49.9
2013-05-16,3.8,49.9
2013-05-16,5,49.9
2013-05-16,5.2,49.9
2013-05-16,5.5,49.9
2013-05-16,5.8,49.9
2013-05-16,6,49.9
2013-05-16,6.2,49.9
2013-05-16,8,49.9
2013-05-16,9,49.9
2013-05-16,9.3,49.9
2013-05-21,0.1,41.1
2013-05-21,1,41.1
2013-05-21,1.6,41.1
2013-05-21,2.8,41.1
2013-05-21,3.8,41.1
2013-05-21,5,41.1
2013-05-21,5.2,41.1
2013-05-21,5.5,41.1
2013-05-21,5.8,41.1
2013-05-21,6,41.1
2013-05-21,6.2,41.1
2013-05-21,8,41.1
2013-05-21,9,41.1
2013-05-21,9.3,41.1
2013-05-23,0.1,32.3
2013-05-23,1,32.3
2013-05-23,1.6,32.3
2013-05-23,2.8,32.3
2013-05-23,3.8,32.3
2013-05-23,5,32.3
2013-05-23,5.2,32.3
2013-05-23,5.5,32.3
2013-05-23,5.8,32.3
2013-05-23,6,32.3
2013-05-23,6.2,32.3
2013-05-23,8,32.3
2013-05-23,9,32.3
2013-05-23,9.3,32.3
2013-05-30,0.1,36.5
2013-05-30,1,36.5
2013-05-30,1.6,36.5
2013-05-30,2.8,36.5
2013-05-30,3.8,36.5
2013-05-30,5,36.5
2013-05-30,5.2,36.5
2013-05-30,5.5,36.5
2013-05-30,5.8,36.5
2013-05-30,6,36.5
2013-05-30,6.2,36.5
2013-05-30,8,36.5
2013-05-30,9,36.5
2013-05-30,9.3,36.5
2013-06-04,0.1,36.0333333333333
2013-06-04,1,36.0333333333333
2013-06-04,1.6,36.0333333333333
2013-06-04,2.8,36.0333333333333
2013-06-04,3.8,36.0333333333333
2013-06-04,5,36.0333333333333
2013-06-04,5.2,36.0333333333333
2013-06-04,5.5,36.0333333333333
2013-06-04,5.8,36.0333333333333
2013-06-04,6,36.0333333333333
2013-06-04,6.2,36.0333333333333
2013-06-04,8,36.0333333333333
2013-06-04,9,36.0333333333333
2013-06-04,9.3,36.0333333333333
2013-06-06,0.1,35.5666666666667
2013-06-06,1,35.5666666666667
2013-06-06,1.6,35.5666666666667
2013-06-06,2.8,35.5666666666667
2013-06-06,3.8,35.5666666666667
2013-06-06,5,35.5666666666667
2013-06-06,5.2,35.5666666666667
2013-06-06,5.5,35.5666666666667
2013-06-06,5.8,35.5666666666667
2013-06-06,6,35.5666666666667
2013-06-06,6.2,35.5666666666667
2013-06-06,8,35.5666666666667
2013-06-06,9,35.5666666666667
2013-06-06,9.3,35.5666666666667
2013-06-13,0.1,35.1
2013-06-13,1,35.1
2013-06-13,1.6,35.1
2013-06-13,2.8,35.1
2013-06-13,3.8,35.1
2013-06-13,5,35.1
2013-06-13,5.2,35.1
2013-06-13,5.5,35.1
2013-06-13,5.8,35.1
2013-06-13,6,35.1
2013-06-13,6.2,35.1
2013-06-13,8,35.1
2013-06-13,9,35.1
2013-06-13,9.3,35.1
2013-06-20,0.1,37.2
2013-06-20,1,37.2
2013-06-20,1.6,37.2
2013-06-20,2.8,37.2
2013-06-20,3.8,37.2
2013-06-20,5,37.2
2013-06-20,5.2,37.2
2013-06-20,5.5,37.2
2013-06-20,5.8,37.2
2013-06-20,6,37.2
2013-06-20,6.2,37.2
2013-06-20,8,37.2
2013-06-20,9,37.2
2013-06-20,9.3,37.2
2013-06-25,0.1,39.3
2013-06-25,1,39.3
2013-06-25,1.6,39.3
2013-06-25,2.8,39.3
2013-06-25,3.8,39.3
2013-06-25,5,39.3
2013-06-25,5.2,39.3
2013-06-25,5.5,39.3
2013-06-25,5.8,39.3
2013-06-25,6,39.3
2013-06-25,6.2,39.3
2013-06-25,8,39.3
2013-06-25,9,39.3
2013-06-25,9.3,39.3
2013-06-27,0.1,41.4
2013-06-27,1,41.4
2013-06-27,1.6,41.4
2013-06-27,2.8,41.4
2013-06-27,3.8,41.4
2013-06-27,5,41.4
2013-06-27,5.2,41.4
2013-06-27,5.5,41.4
2013-06-27,5.8,41.4
2013-06-27,6,41.4
2013-06-27,6.2,41.4
2013-06-27,8,41.4
2013-06-27,9,41.4
2013-06-27,9.3,41.4
2013-07-03,0.1,68.9
2013-07-03,1,68.9
2013-07-03,1.6,68.9
2013-07-03,2.8,68.9
2013-07-03,3.8,68.9
2013-07-03,5,68.9
2013-07-03,5.2,68.9
2013-07-03,5.5,68.9
2013-07-03,5.8,68.9
2013-07-03,6,68.9
2013-07-03,6.2,68.9
2013-07-03,8,68.9
2013-07-03,9,68.9
2013-07-03,9.3,68.9
2013-07-11,0.1,48.8
2013-07-11,1,48.8
2013-07-11,1.6,48.8
2013-07-11,2.8,48.8
2013-07-11,3.8,48.8
2013-07-11,5,48.8
2013-07-11,5.2,48.8
2013-07-11,5.5,48.8
2013-07-11,5.8,48.8
2013-07-11,6,48.8
2013-07-11,6.2,48.8
2013-07-11,8,48.8
2013-07-11,9,48.8
2013-07-11,9.3,48.8
2013-07-15,0.1,35
2013-07-15,1,35
2013-07-15,1.6,35
2013-07-15,2.8,35
2013-07-15,3.8,35
2013-07-15,5,35
2013-07-15,5.2,35
2013-07-15,5.5,35
2013-07-15,5.8,35
2013-07-15,6,35
