Date,Depth,Temp_interp,DO_mgL_interp,Chla_interp,Turb_NTU_interp,SpCond_uScm_interp,TP_interp,TN_interp,NH4_interp,NO3NO2_interp,SRP_interp,DOC_interp,TPinf_interp,TNinf_interp,NH4inf_interp,NO3NO2inf_interp,DOCinf_interp,SRPinf_interp,kd_interp
2013-03-07,0.1,3.3751,12.17279,1.1863,3.278,35.02199563,27,,,,,,,,,,,,
2013-03-07,1,3.3699,12.1779,1.8885,3.5466,34.71967467,32.3,,,,,,,,,,,,
2013-03-07,1.6,3.367,12.16648,3.4119,3.2612,35.09111046,30.7,,,,,,,,,,,,
2013-03-07,2.8,3.3651,12.14497,3.4873,3.2277,35.33370744,35.6,,,,,,,,,,,,
2013-03-07,3.8,3.365,12.14708,4.4197,3.3116,34.95611154,27,,,,,,,,,,,,
2013-03-07,5,3.3616,12.15775,4.0031,3.278,34.93968262,35.6,,,,,,,,,,,,
2013-03-07,5.2,3.3618,12.15232,4.3046,3.2445,34.9400568,NA,,,,,,,,,,,,
2013-03-07,5.5,3.3615,12.14006,3.8087,3.5298,34.73368585,NA,,,,,,,,,,,,
2013-03-07,5.8,3.3613,12.16016,3.4913,3.2612,34.73302228,NA,,,,,,,,,,,,
2013-03-07,6,3.3605,12.14947,3.7531,3.5802,35.05866984,NA,,,,,,,,,,,,
2013-03-07,6.2,3.3595,12.15285,3.4278,3.5466,34.75624522,42.2,,,,,,,,,,,,
2013-03-07,8,3.3626,12.15036,4.1102,3.5969,34.74437781,47.9,,,,,,,,,,,,
2013-03-07,9,3.362,12.16218,3.5508,3.6305,34.87357729,NA,,,,,,,,,,,,
2013-03-07,9.3,3.364,12.15585,3.6817,3.5466,34.7225201,NA,,,,,,,,,,,,
2013-04-04,0.1,8.3102,11.40901,1.3132,1.7842,34.66761384,27,,,,,,,,,,,,
2013-04-04,1,8.3011,11.40245,2.2138,2.1031,34.53733076,32.3,,,,,,,,,,,,
2013-04-04,1.6,8.2617,11.38781,4.4276,2.1031,34.43035966,30.7,,,,,,,,,,,,
2013-04-04,2.8,7.8328,11.53483,4.4911,2.0695,34.79799064,35.6,,,,,,,,,,,,
2013-04-04,3.8,7.0858,11.48425,4.987,2.0863,34.57264864,27,,,,,,,,,,,,
2013-04-04,5,6.2069,11.47178,5.2092,1.7674,34.56574702,35.6,,,,,,,,,,,,
2013-04-04,5.2,6.1859,11.46528,5.5781,2.0527,34.63476641,NA,,,,,,,,,,,,
2013-04-04,5.5,6.1198,11.48851,6.2526,1.8849,34.47956451,NA,,,,,,,,,,,,
2013-04-04,5.8,6.0786,11.49233,7.0103,2.1199,34.45936671,NA,,,,,,,,,,,,
2013-04-04,6,6.0669,11.42266,6.5144,1.8177,34.62626261,NA,,,,,,,,,,,,
2013-04-04,6.2,6.0558,11.41507,6.685,2.0192,34.32338537,42.2,,,,,,,,,,,,
2013-04-04,8,5.8896,10.97194,5.3361,2.0192,34.74261918,47.9,,,,,,,,,,,,
2013-04-04,9,5.8764,10.85436,5.7805,2.2877,34.78088262,NA,,,,,,,,,,,,
2013-04-04,9.3,5.8753,10.85707,5.1933,2.0359,34.66221539,NA,,,,,,,,,,,,
2013-04-11,0.1,15.412,10.00945,0.6943,1.3813,35.92541499,27,,,,,,,,,,,,
2013-04-11,1,12.3102,10.9528,0.7459,1.3981,34.65958916,31.1,,,,,,,,,,,,
2013-04-11,1.6,11.164,11.1126,1.1307,1.3142,34.54023637,60.3,,,,,,,,,,,,
2013-04-11,2.8,8.5716,11.45543,3.0192,1.3813,34.37664288,45.2,,,,,,,,,,,,
2013-04-11,3.8,7.4737,11.29584,5.5623,1.6163,34.4225377,27,,,,,,,,,,,,
2013-04-11,5,6.9246,10.97511,7.0143,1.5492,34.31973212,30.1,,,,,,,,,,,,
2013-04-11,5.2,6.8642,10.94902,7.1254,1.331,34.16716414,NA,,,,,,,,,,,,
2013-04-11,5.5,6.7797,10.7365,7.5023,1.3142,34.20761261,NA,,,,,,,,,,,,
2013-04-11,5.8,6.694,10.635,8.2283,1.6163,34.30870106,NA,,,,,,,,,,,,
2013-04-11,6,6.6431,10.60871,7.9863,1.5828,34.12227735,NA,,,,,,,,,,,,
2013-04-11,6.2,6.5965,10.72217,7.8554,1.5492,34.23110946,52.2,,,,,,,,,,,,
2013-04-11,8,6.3573,10.4021,6.1415,1.4988,34.62358153,41.1,,,,,,,,,,,,
2013-04-11,9,6.3098,10.01334,7.0143,1.8849,34.75560482,NA,,,,,,,,,,,,
2013-04-11,9.3,6.3098,10.01334,7.0143,1.8849,34.75560482,NA,,,,,,,,,,,,
2013-04-18,0.1,16.8891,8.66629,2.0035,0.9449,35.89453428,26,,,,,,,,,,,,
2013-04-18,1,16.3006,8.74981,2.2614,1.6163,36.1002522,32.1,,,,,,,,,,,,
2013-04-18,1.6,15.2504,9.27411,2.1821,1.566,35.95630278,36.1,,,,,,,,,,,,
2013-04-18,2.8,10.041,11.07551,1.8607,1.2974,35.90629682,24.8,,,,,,,,,,,,
2013-04-18,3.8,7.9945,11.00519,2.3685,1.2974,34.72338915,35,,,,,,,,,,,,
2013-04-18,5,7.3192,10.62917,6.3756,1.331,34.66125576,26.4,,,,,,,,,,,,
2013-04-18,5.2,7.2628,10.5854,6.8754,1.2638,34.50936896,NA,,,,,,,,,,,,
2013-04-18,5.5,7.1609,10.43184,4.3998,0.9953,34.58701695,NA,,,,,,,,,,,,
2013-04-18,5.8,7.0837,10.29278,5.0029,1.0121,34.49055469,NA,,,,,,,,,,,,
2013-04-18,6,7.0397,10.04677,4.8164,1.0456,34.58217826,NA,,,,,,,,,,,,
2013-04-18,6.2,6.9984,9.9065,5.4353,0.9449,34.68234059,24,,,,,,,,,,,,
2013-04-18,8,6.6773,9.54245,5.1258,1.3142,34.64831656,30.3,,,,,,,,,,,,
2013-04-18,9,6.6086,9.12042,6.5462,1.3142,34.8738276,NA,,,,,,,,,,,,
2013-04-18,9.3,6.5933,8.74016,6.7366,1.3142,35.11484311,NA,,,,,,,,,,,,
2013-04-25,0.1,15.9848,9.11219,1.0196,1.6499,36.55566096,27.9,,,,,,,,,,,,
2013-04-25,1,15.9101,9.1311,1.2259,1.2974,36.64332918,27.9,,,,,,,,,,,,
2013-04-25,1.6,15.7862,9.07091,1.5275,1.2638,36.57588401,31.1,,,,,,,,,,,,
2013-04-25,2.8,11.5955,10.49838,2.678,1.2974,35.69136182,49.8,,,,,,,,,,,,
2013-04-25,3.8,8.4948,9.94966,2.2297,1.096,34.71817363,24,,,,,,,,,,,,
2013-04-25,5,7.4256,8.89759,2.1107,1.3478,34.86913923,24,,,,,,,,,,,,
2013-04-25,5.2,7.3505,8.78697,2.3725,1.2638,34.87646263,NA,,,,,,,,,,,,
2013-04-25,5.5,7.2404,8.86788,2.0353,1.3813,34.96090538,NA,,,,,,,,,,,,
2013-04-25,5.8,7.1564,8.90075,2.1702,1.2638,34.97558751,NA,,,,,,,,,,,,
2013-04-25,6,7.1077,8.5658,2.0392,1.2471,34.96427011,NA,,,,,,,,,,,,
2013-04-25,6.2,7.0804,8.25636,1.9797,1.2974,35.14710257,33.4,,,,,,,,,,,,
