"Date","Site","Depth","total_chl_interp","greens_interp","cyanos_interp","diatoms_interp","cryptos_interp"
2014-05-05,50,0.1,0.67,0,0.67,0,0
2014-05-05,50,0.8,1.9,1.9,0,0,0
2014-05-05,50,1.6,1.58,0,0.37,0.79,0.42
2014-05-05,50,2.8,4.65,1.14,0.58,2.93,0
2014-05-05,50,3.8,5.73,3.34,0,1.99,0.4
2014-05-05,50,5,7.75,3.52,0,4.11,0.12
2014-05-05,50,5.2,9.04,3.8,0,5.24,0
2014-05-05,50,5.5,9.93,4.07,0,5.85,0
2014-05-05,50,5.8,8.36,3.35,0,5.01,0
2014-05-05,50,6,6.86,2.76,0,4.02,0.08
2014-05-05,50,6.2,6.86,2.76,0,4.02,0.08
2014-05-05,50,8,1.7,0.87,0.11,0.67,0.05
2014-05-05,50,9,1.17,0.62,0.07,0.48,0
2014-05-05,50,9.3,1.17,0.62,0.07,0.48,0
2014-05-06,50,0.1,1.04,0.206666666666667,0.47,0.16,0
2014-05-06,50,0.8,2.45,1.90333333333333,0.183333333333333,0.133333333333333,0
2014-05-06,50,1.6,1.89666666666667,1.03666666666667,0.286666666666667,0.526666666666667,0.316666666666667
2014-05-06,50,2.8,5.10333333333333,1.47,0.386666666666667,2.71333333333333,0.19
2014-05-06,50,3.8,5.80333333333333,3.23333333333333,0,2.49666666666667,0.303333333333333
2014-05-06,50,5,7.29,3.19,0.0966666666666667,3.87,0.08
2014-05-06,50,5.2,8.42333333333333,3.54666666666667,0,4.41,0.38
2014-05-06,50,5.5,9.15333333333333,3.63,0.08,5.28,0.0133333333333333
2014-05-06,50,5.8,8.33,3.61,0,4.55,0.163333333333333
2014-05-06,50,6,7.24666666666667,3.21333333333333,0,3.79,0.326666666666667
2014-05-06,50,6.2,7.44,3.12333333333333,0,3.84,0.28
2014-05-06,50,8,2.31333333333333,1.16,0.0733333333333333,0.98,0.136666666666667
2014-05-06,50,9,1.97333333333333,0.843333333333333,0.0466666666666667,0.853333333333333,0.14
2014-05-06,50,9.3,1.90333333333333,1.00666666666667,0.0866666666666667,0.84,0.04
2014-05-07,50,0.1,1.41,0.413333333333333,0.27,0.32,0
2014-05-07,50,0.8,3,1.90666666666667,0.366666666666667,0.266666666666667,0
2014-05-07,50,1.6,2.21333333333333,2.07333333333333,0.203333333333333,0.263333333333333,0.213333333333333
2014-05-07,50,2.8,5.55666666666667,1.8,0.193333333333333,2.49666666666667,0.38
2014-05-07,50,3.8,5.87666666666667,3.12666666666667,0,3.00333333333333,0.206666666666667
2014-05-07,50,5,6.83,2.86,0.193333333333333,3.63,0.04
2014-05-07,50,5.2,7.80666666666667,3.29333333333333,0,3.58,0.76
2014-05-07,50,5.5,8.37666666666667,3.19,0.16,4.71,0.0266666666666667
2014-05-07,50,5.8,8.3,3.87,0,4.09,0.326666666666667
2014-05-07,50,6,7.63333333333333,3.66666666666667,0,3.56,0.573333333333333
2014-05-07,50,6.2,8.02,3.48666666666667,0,3.66,0.48
2014-05-07,50,8,2.92666666666667,1.45,0.0366666666666667,1.29,0.223333333333333
2014-05-07,50,9,2.77666666666667,1.06666666666667,0.0233333333333333,1.22666666666667,0.28
2014-05-07,50,9.3,2.63666666666667,1.39333333333333,0.103333333333333,1.2,0.08
2014-05-08,50,0.1,1.78,0.62,0.07,0.48,0
2014-05-08,50,0.8,3.55,1.91,0.55,0.4,0
2014-05-08,50,1.6,2.53,3.11,0.12,0,0.11
2014-05-08,50,2.8,6.01,2.13,0,2.28,0.57
2014-05-08,50,3.8,5.95,3.02,0,3.51,0.11
2014-05-08,50,5,6.37,2.53,0.29,3.39,0
2014-05-08,50,5.2,7.19,3.04,0,2.75,1.14
2014-05-08,50,5.5,7.6,2.75,0.24,4.14,0.04
2014-05-08,50,5.8,8.27,4.13,0,3.63,0.49
2014-05-08,50,6,8.02,4.12,0,3.33,0.82
2014-05-08,50,6.2,8.6,3.85,0,3.48,0.68
2014-05-08,50,8,3.54,1.74,0,1.6,0.31
2014-05-08,50,9,3.58,1.29,0,1.6,0.42
2014-05-08,50,9.3,3.37,1.78,0.12,1.56,0.12
2014-05-09,50,0.1,1.71,0.71125,0.0725,0.6325,0.03
2014-05-09,50,0.8,3.32125,1.8825,0.63625,0.35,0
2014-05-09,50,1.6,2.91625,2.96125,0.105,0.225,0.09625
2014-05-09,50,2.8,6.0375,2.10625,0,2.61375,0.51875
2014-05-09,50,3.8,6.51,3.0525,0,3.61125,0.12625
2014-05-09,50,5,6.79125,2.94625,0.25375,3.3825,0.105
2014-05-09,50,5.2,7.40125,3.39625,0,2.73,1.24
2014-05-09,50,5.5,7.70125,3.0025,0.21125,3.87625,0.40125
2014-05-09,50,5.8,8.00375,4.08625,0.0325,3.4825,0.66875
2014-05-09,50,6,7.785,4.0775,0.0325,3.22,0.9575
2014-05-09,50,6.2,8.245,3.69375,0.015,3.30375,0.85375
2014-05-09,50,8,3.77875,1.7625,0.01625,1.5575,0.53625
2014-05-09,50,9,3.83,1.3975,0.02875,1.61,0.59125
2014-05-09,50,9.3,3.66,1.8175,0.12375,1.5675,0.345
2014-05-10,50,0.1,1.64,0.8025,0.075,0.785,0.06
2014-05-10,50,0.8,3.0925,1.855,0.7225,0.3,0
2014-05-10,50,1.6,3.3025,2.8125,0.09,0.45,0.0825
2014-05-10,50,2.8,6.065,2.0825,0,2.9475,0.4675
2014-05-10,50,3.8,7.07,3.085,0,3.7125,0.1425
2014-05-10,50,5,7.2125,3.3625,0.2175,3.375,0.21
2014-05-10,50,5.2,7.6125,3.7525,0,2.71,1.34
2014-05-10,50,5.5,7.8025,3.255,0.1825,3.6125,0.7625
2014-05-10,50,5.8,7.7375,4.0425,0.065,3.335,0.8475
2014-05-10,50,6,7.55,4.035,0.065,3.11,1.095
2014-05-10,50,6.2,7.89,3.5375,0.03,3.1275,1.0275
2014-05-10,50,8,4.0175,1.785,0.0325,1.515,0.7625
2014-05-10,50,9,4.08,1.505,0.0575,1.62,0.7625
2014-05-10,50,9.3,3.95,1.855,0.1275,1.575,0.57
2014-05-12,50,0.1,1.57,0.89375,0.0775,0.9375,0.09
2014-05-12,50,0.8,2.86375,1.8275,0.80875,0.25,0
2014-05-12,50,1.6,3.68875,2.66375,0.075,0.675,0.06875
2014-05-12,50,2.8,6.0925,2.05875,0,3.28125,0.41625
2014-05-12,50,3.8,7.63,3.1175,0,3.81375,0.15875
2014-05-12,50,5,7.63375,3.77875,0.18125,3.3675,0.315
2014-05-12,50,5.2,7.82375,4.10875,0,2.69,1.44
2014-05-12,50,5.5,7.90375,3.5075,0.15375,3.34875,1.12375
2014-05-12,50,5.8,7.47125,3.99875,0.0975,3.1875,1.02625
2014-05-12,50,6,7.315,3.9925,0.0975,3,1.2325
2014-05-12,50,6.2,7.535,3.38125,0.045,2.95125,1.20125
2014-05-12,50,8,4.25625,1.8075,0.04875,1.4725,0.98875
2014-05-12,50,9,4.33,1.6125,0.08625,1.63,0.93375
2014-05-12,50,9.3,4.24,1.8925,0.13125,1.5825,0.795
2014-05-14,50,0.1,1.5,0.985,0.08,1.09,0.12
2014-05-14,50,0.8,2.635,1.8,0.895,0.2,0
2014-05-14,50,1.6,4.075,2.515,0.06,0.9,0.055
2014-05-14,50,2.8,6.12,2.035,0,3.615,0.365
2014-05-14,50,3.8,8.19,3.15,0,3.915,0.175
2014-05-14,50,5,8.055,4.195,0.145,3.36,0.42
2014-05-14,50,5.2,8.035,4.465,0,2.67,1.54
2014-05-14,50,5.5,8.005,3.76,0.125,3.085,1.485
2014-05-14,50,5.8,7.205,3.955,0.13,3.04,1.205
2014-05-14,50,6,7.08,3.95,0.13,2.89,1.37
2014-05-14,50,6.2,7.18,3.225,0.06,2.775,1.375
2014-05-14,50,8,4.495,1.83,0.065,1.43,1.215
2014-05-14,50,9,4.58,1.72,0.115,1.64,1.105
2014-05-14,50,9.3,4.53,1.93,0.135,1.59,1.02
2014-05-15,50,0.1,1.43,1.07625,0.0825,1.2425,0.15
2014-05-15,50,0.8,2.40625,1.7725,0.98125,0.15,0
2014-05-15,50,1.6,4.46125,2.36625,0.045,1.125,0.04125
2014-05-15,50,2.8,6.1475,2.01125,0,3.94875,0.31375
2014-05-15,50,3.8,8.75,3.1825,0,4.01625,0.19125
2014-05-15,50,5,8.47625,4.61125,0.10875,3.3525,0.525
2014-05-15,50,5.2,8.24625,4.82125,0,2.65,1.64
2014-05-15,50,5.5,8.10625,4.0125,0.09625,2.82125,1.84625
2014-05-15,50,5.8,6.93875,3.91125,0.1625,2.8925,1.38375
2014-05-15,50,6,6.845,3.9075,0.1625,2.78,1.5075
2014-05-15,50,6.2,6.825,3.06875,0.075,2.59875,1.54875
2014-05-15,50,8,4.73375,1.8525,0.08125,1.3875,1.44125
2014-05-15,50,9,4.83,1.8275,0.14375,1.65,1.27625
2014-05-15,50,9.3,4.82,1.9675,0.13875,1.5975,1.245
2014-05-19,50,0.1,1.36,1.1675,0.085,1.395,0.18
2014-05-19,50,0.8,2.1775,1.745,1.0675,0.1,0
2014-05-19,50,1.6,4.8475,2.2175,0.03,1.35,0.0275
2014-05-19,50,2.8,6.175,1.9875,0,4.2825,0.2625
2014-05-19,50,3.8,9.31,3.215,0,4.1175,0.2075
2014-05-19,50,5,8.8975,5.0275,0.0725,3.345,0.63
2014-05-19,50,5.2,8.4575,5.1775,0,2.63,1.74
2014-05-19,50,5.5,8.2075,4.265,0.0675,2.5575,2.2075
2014-05-19,50,5.8,6.6725,3.8675,0.195,2.745,1.5625
2014-05-19,50,6,6.61,3.865,0.195,2.67,1.645
2014-05-19,50,6.2,6.47,2.9125,0.09,2.4225,1.7225
2014-05-19,50,8,4.9725,1.875,0.0975,1.345,1.6675
2014-05-19,50,9,5.08,1.935,0.1725,1.66,1.4475
2014-05-19,50,9.3,5.11,2.005,0.1425,1.605,1.47
2014-05-22,50,0.1,1.29,1.25875,0.0875,1.5475,0.21
2014-05-22,50,0.8,1.94875,1.7175,1.15375,0.05,0
2014-05-22,50,1.6,5.23375,2.06875,0.015,1.575,0.01375
2014-05-22,50,2.8,6.2025,1.96375,0,4.61625,0.21125
2014-05-22,50,3.8,9.87,3.2475,0,4.21875,0.22375
2014-05-22,50,5,9.31875,5.44375,0.03625,3.3375,0.735
2014-05-22,50,5.2,8.66875,5.53375,0,2.61,1.84
2014-05-22,50,5.5,8.30875,4.5175,0.03875,2.29375,2.56875
2014-05-22,50,5.8,6.40625,3.82375,0.2275,2.5975,1.74125
2014-05-22,50,6,6.375,3.8225,0.2275,2.56,1.7825
2014-05-22,50,6.2,6.115,2.75625,0.105,2.24625,1.89625
2014-05-22,50,8,5.21125,1.8975,0.11375,1.3025,1.89375
2014-05-22,50,9,5.33,2.0425,0.20125,1.67,1.61875
2014-05-22,50,9.3,5.4,2.0425,0.14625,1.6125,1.695
2014-05-26,50,0.1,1.22,1.35,0.09,1.7,0.24
2014-05-26,50,0.8,1.72,1.69,1.24,0,0
2014-05-26,50,1.6,5.62,1.92,0,1.8,0
2014-05-26,50,2.8,6.23,1.94,0,4.95,0.16
2014-05-26,50,3.8,10.43,3.28,0,4.32,0.24
2014-05-26,50,5,9.74,5.86,0,3.33,0.84
2014-05-26,50,5.2,8.88,5.89,0,2.59,1.94
2014-05-26,50,5.5,8.41,4.77,0.01,2.03,2.93
2014-05-26,50,5.8,6.14,3.78,0.26,2.45,1.92
2014-05-26,50,6,6.14,3.78,0.26,2.45,1.92
2014-05-26,50,6.2,5.76,2.6,0.12,2.07,2.07
2014-05-26,50,8,5.45,1.92,0.13,1.26,2.12
2014-05-26,50,9,5.58,2.15,0.23,1.68,1.79
2014-05-26,50,9.3,5.69,2.08,0.15,1.62,1.92
2014-05-28,50,0.1,0.83,1.585,0.135,1.675,1.085
2014-05-28,50,0.8,3.14,1.8,0.725,0.885,0.9
2014-05-28,50,1.6,7.095,2.375,0,2.205,0.16
2014-05-28,50,2.8,7.545,3.52,0,5.8,0.08
2014-05-28,50,3.8,10.93,2.78,0,5.775,0.12
2014-05-28,50,5,11.815,6.69,0,5.015,1.03
2014-05-28,50,5.2,11.385,6.705,0,4.645,1.58
2014-05-28,50,5.5,9.03,6.09,0.005,4.685,1.925
2014-05-28,50,5.8,6.49,5.62,0.13,4.685,1.545
2014-05-28,50,6,5.285,4.86,0.13,4.295,1.87
2014-05-28,50,6.2,5.095,4.27,0.06,4.105,1.945
2014-05-28,50,8,4.325,1.335,0.15,1.135,1.68
2014-05-28,50,9,4.42,1.53,0.205,1.305,1.515
2014-05-28,50,9.3,4.5,1.495,0.155,1.26,1.57
2014-06-02,50,0.1,0.44,1.82,0.18,1.65,1.93
2014-06-02,50,0.8,4.56,1.91,0.21,1.77,1.8
2014-06-02,50,1.6,8.57,2.83,0,2.61,0.32
2014-06-02,50,2.8,8.86,5.1,0,6.65,0
2014-06-02,50,3.8,11.43,2.28,0,7.23,0
2014-06-02,50,5,13.89,7.52,0,6.7,1.22
2014-06-02,50,5.2,13.89,7.52,0,6.7,1.22
2014-06-02,50,5.5,9.65,7.41,0,7.34,0.92
2014-06-02,50,5.8,6.84,7.46,0,6.92,1.17
2014-06-02,50,6,4.43,5.94,0,6.14,1.82
2014-06-02,50,6.2,4.43,5.94,0,6.14,1.82
2014-06-02,50,8,3.2,0.75,0.17,1.01,1.24
2014-06-02,50,9,3.26,0.91,0.18,0.93,1.24
2014-06-02,50,9.3,3.31,0.91,0.16,0.9,1.22
2014-06-03,50,0.1,0.59,1.64,0.182,1.516,1.786
2014-06-03,50,0.8,4.25,1.706,0.2,1.622,1.688
2014-06-03,50,1.6,7.572,2.528,0,2.374,0.308
2014-06-03,50,2.8,8.654,4.312,0,5.726,0.174
2014-06-03,50,3.8,11.578,2.622,0.048,6.506,0
2014-06-03,50,5,14.86,7.41,0,6.648,1.038
2014-06-03,50,5.2,14.86,7.41,0,6.648,1.038
2014-06-03,50,5.5,9.924,7.528,0,7.722,0.736
2014-06-03,50,5.8,6.734,7.612,0,7.686,0.936
