,Chla_sqrt,Chla_ARlag1_sqrt,Temp_C,DO_mgL,SpCond_uScm,Turb_NTU_log,Kd,TP_log,TN_log,NH4_log,NO3NO2_log,SRP_log,DOC_log,TP_inf_log,TN_inf_log,NH4_inf_log,DOC_inf_log,NO3NO2_inf,SRP_inf,NH4NO3_SRP_inf,mean_flow,NO3NO2_load,SRP_load,TN_TP_log,NH4NO3NO2_SRP_log,TN_TP_inf_log,TN_load_log,TP_load_log,NH4_load_log,DOC_load_log,mean_wrt_log,flow_max_log,flow_min,flow_median,Temp_inf_mean,Temp_inf_max,Temp_inf_min,Total_chlorophyll_log,greens_log,cyano_log,diatoms_log,crypto_log,RelHum_max_log,AirTemp_max_log,AirTemp_mean_log,AirTemp_median_log,Rain_sum_log,WindSpeed_max_log,WindSpeed_mean_log,WindSpeed_median_log,RelHum_mean,RelHum_median,ShortWave_max,ShortWave_mean
Chla_sqrt,1,0.39965812,-0.012649573,-0.243076923,0.42017094,0.413333333,0.118679051,0.488461538,0.316059559,0.29213222,0.369396201,0.011479997,0.549704634,0.264957265,0.152820513,-0.123672752,0.544736045,0.073504274,0.459616943,-0.18974359,-0.231452991,-0.188376068,0.018119658,0.077692308,0.276970426,-0.031111111,-0.202051282,-0.112478632,-0.413333333,0.090909091,0.231452991,-0.082763343,-0.314583694,-0.236963587,-0.047521368,-0.130300965,-0.004444444,0.744957265,0.638727484,0.080396871,0.601626542,0.534330452,0.450564594,-0.136410256,-0.15008547,-0.148717949,0.134738789,0.168547009,0.282051282,0.26017094,0.314188034,0.271794872,-0.437264957,-0.395555556
Chla_ARlag1_sqrt,0.39965812,1,-0.025641026,-0.182222222,0.394188034,0.345641026,0.294117647,0.157692308,0.341029633,0.208812819,0.171972161,0.113408456,0.499918767,-0.037948718,-0.096068376,-0.143200028,0.486411916,-0.081709402,0.315879701,-0.323760684,-0.112478632,-0.44,-0.046837607,0.27,0.129936743,0.169230769,-0.135042735,-0.171965812,-0.325811966,0.202710333,0.112478632,-0.155950762,-0.140194907,-0.100530007,-0.032478632,-0.008891929,-0.052307692,0.342905983,0.235716785,0.047553894,0.369511112,0.2979589,0.018816289,0.017435897,-0.057777778,-0.118632479,-0.243525252,0.076923077,0.217777778,0.243760684,-0.174017094,-0.122735043,-0.044102564,-0.002393162
Temp_C,-0.012649573,-0.025641026,1,-0.044102564,0.336068376,-0.418803419,0.630546956,0.372307692,-0.314007225,-0.038402358,0.187105711,0.550691982,-0.163778332,0.097435897,0.218461538,0.51113503,-0.666480587,0.871452991,0.619096836,0.682051282,-0.723760684,0.375726496,-0.317606838,-0.442307692,-0.466746459,0.031794872,-0.598632479,-0.591794872,-0.173333333,-0.690570299,0.723760684,-0.714090329,-0.719439231,-0.720806986,0.927521368,0.93433658,0.935726496,0.246495726,0.336298402,-0.310297712,0.028450621,0.220200573,-0.525145521,0.840683761,0.864615385,0.852991453,-0.02168619,-0.318974359,-0.223931624,-0.215042735,-0.568547009,-0.548034188,0.616410256,0.656752137
DO_mgL,-0.243076923,-0.182222222,-0.044102564,1,-0.172649573,-0.074871795,-0.011351909,-0.213846154,-0.133743818,0.101491945,-0.277907012,-0.297436289,-0.23553865,0.260854701,0.171965812,-0.1712919,-0.11211823,-0.010598291,-0.180698247,0.08034188,0.022222222,0.086495726,-0.124786325,0.095384615,0.135749703,-0.111794872,0.010598291,0.158290598,-0.10017094,-0.07622812,-0.022222222,0.028385775,0.073174903,0.015045307,-0.065299145,-0.0126539,-0.066666667,-0.275213675,-0.239822157,0.06534384,-0.215808367,-0.241876567,0.034553549,0.078974359,0.082393162,0.100854701,-0.012442896,-0.124786325,-0.24991453,-0.263589744,0.031111111,0.048205128,-0.138461538,-0.208888889
SpCond_uScm,0.42017094,0.394188034,0.336068376,-0.172649573,1,0.310769231,0.510835913,0.614615385,0.193603583,0.008571955,0.313677221,0.32909325,0.714169668,0.279316239,0.331965812,0.176088073,0.332957167,0.461880342,0.213894705,0.426324786,-0.673162393,-0.44,-0.721709402,-0.046153846,-0.208924606,0.353846154,-0.548717949,-0.601367521,-0.393504274,-0.469226426,0.673162393,-0.627565016,-0.69413576,-0.673619432,0.152820513,0.141586876,0.191794872,0.490598291,0.416353159,0.330140344,0.247728576,0.63135633,0.053027724,0.127521368,0.106324786,0.035213675,-0.307517289,0.215042735,0.293675214,0.305982906,-0.18974359,-0.113162393,-0.048888889,-0.097435897
Turb_NTU_log,0.413333333,0.345641026,-0.418803419,-0.074871795,0.310769231,1,-0.226006192,-0.004615385,0.237044669,-0.10046331,0.177131325,-0.110625427,0.58232296,0.089230769,0.027692308,-0.309695755,0.771803773,-0.412649573,-0.328884499,-0.356581197,0.162393162,-0.489230769,-0.098119658,0.366923077,0.042058472,0.096068376,0.213675214,0.154188034,-0.288888889,0.293054771,-0.162393162,0.205540368,0.105659089,0.15934348,-0.535042735,-0.546853657,-0.50974359,0.098803419,-0.00786863,0.57851536,0.028103662,0.307936739,0.460828024,-0.534358974,-0.554188034,-0.528888889,-0.107008906,0.284786325,0.189059829,0.187008547,0.314188034,0.296410256,-0.259487179,-0.365470085
Kd,0.118679051,0.294117647,0.630546956,-0.011351909,0.510835913,-0.226006192,1,0.401960784,-0.12183791,-0.160087398,-0.016702562,0.158305702,0.280967072,0.203302374,0.176470588,0.282024944,-0.308370792,0.622291022,0.551762495,0.587203302,-0.552115583,0.1124871,-0.405572755,-0.210784314,-0.28998968,-0.067079463,-0.510835913,-0.589267286,-0.120743034,-0.432967033,0.552115583,-0.619514796,-0.552115583,-0.542075447,0.630546956,0.608157025,0.622291022,0.417956656,0.429163276,-0.114551084,0.534831746,0.121998721,-0.350569519,0.566563467,0.605779154,0.601651187,-0.39838583,0.178534572,0.213622291,0.221878225,-0.391124871,-0.380804954,0.135190918,0.203302374
TP_log,0.488461538,0.157692308,0.372307692,-0.213846154,0.614615385,-0.004615385,0.401960784,1,-0.213543686,-0.011569653,0.098938353,0.374451888,0.351626655,0.221538462,0.176923077,0.259445567,0.087769321,0.508461538,0.477859387,0.432307692,-0.424615385,0.124615385,-0.238461538,-0.593076923,-0.332756305,-0.069230769,-0.392307692,-0.305384615,-0.168461538,-0.333709768,0.424615385,-0.324740309,-0.44008464,-0.441238708,0.310769231,0.322046965,0.331538462,0.601538462,0.631659946,-0.108545067,0.313843892,0.536891675,0.151655164,0.216153846,0.245384615,0.205384615,0.046631871,-0.072307692,-0.000769231,-0.030769231,0.075384615,0.034615385,0.023846154,-0.011538462
TN_log,0.316059559,0.341029633,-0.314007225,-0.133743818,0.193603583,0.237044669,-0.12183791,-0.213543686,1,0.138936936,0.417590638,-0.196130253,0.586915905,0.31845395,0.316401615,0.003770356,0.5039673,-0.301693216,-0.085944199,-0.331794126,0.065332658,-0.322216564,0.046861645,0.846864241,0.465617543,0.035915859,0.166581175,0.156661556,0.101590573,0.511864488,-0.065332658,0.040034218,0.004960657,0.073212457,-0.272618473,-0.316680929,-0.24593812,0.291089486,0.184494269,0.31832963,0.169402785,0.409129209,0.22796509,-0.301693216,-0.361552981,-0.415597797,-0.149747077,0.334872628,0.424149192,0.414913686,0.123482144,0.236018502,-0.357790367,-0.368052041
NH4_log,0.29213222,0.208812819,-0.038402358,0.101491945,0.008571955,-0.10046331,-0.160087398,-0.011569653,0.138936936,1,0.218352208,0.239690218,0.110020766,0.018515422,-0.148466257,-0.252877606,0.050510791,0.027773134,0.16131829,-0.184468467,-0.001028635,-0.103549214,0.103206336,0.110297355,0.707821594,-0.042516896,-0.198869351,-0.084690913,-0.231785658,-0.029994418,0.001028635,-0.053164299,-0.055898701,0.003943773,-0.077147593,-0.10838657,-0.063089587,0.20675555,0.237777225,-0.032595724,-0.037928889,0.123361673,0.121118846,-0.052460363,-0.069261395,-0.106977996,0.194319179,-0.350078634,-0.216013261,-0.237271709,0.042174018,-0.009600589,-0.178982416,-0.145723232
NO3NO2_log,0.369396201,0.171972161,0.187105711,-0.277907012,0.313677221,0.177131325,-0.016702562,0.098938353,0.417590638,0.218352208,1,0.098169079,0.508636337,0.215309145,0.148583947,-0.028261466,0.081104365,0.113157682,0.258051072,-0.055031091,-0.277907012,-0.105590907,0.000687889,0.378361903,0.354839229,0.059502368,-0.250047522,-0.148583947,-0.283754065,0.026107038,0.277907012,-0.2026525,-0.357419252,-0.276750518,0.086330025,0.055049915,0.137577729,0.350479263,0.286357542,0.072966105,0.002617901,0.610072726,0.003785977,0.052623481,-0.003439443,0.031298933,0.094779261,-0.085642136,0.10111963,0.100087797,-0.092177078,-0.137577729,0.099055965,0.079451138
SRP_log,0.011479997,0.113408456,0.550691982,-0.297436289,0.32909325,-0.110625427,0.158305702,0.374451888,-0.196130253,0.239690218,0.098169079,1,-0.006463437,-0.086621796,0.036527264,0.413781672,-0.097020696,0.46302655,0.290428865,0.324570827,-0.326658099,0.050094533,-0.12036603,-0.306192429,-0.400302878,0.196203587,-0.255690845,-0.360402333,0.009044846,-0.425340654,0.326658099,-0.397935363,-0.376469113,-0.324104416,0.43902292,0.447699033,0.437631405,0.137759965,0.203300217,0.041077784,-0.302913683,0.277279244,-0.146557177,0.309264164,0.349270215,0.264735691,-0.143252538,-0.418498076,-0.296392653,-0.301610833,-0.252907815,-0.280390232,0.429282316,0.426151408
DOC_log,0.549704634,0.499918767,-0.163778332,-0.23553865,0.714169668,0.58232296,0.280967072,0.351626655,0.586915905,0.110020766,0.508636337,-0.006463437,1,0.328586717,0.280517605,-0.146224346,0.761693637,-0.052876023,-0.036260719,-0.024377907,-0.187812889,-0.556915,-0.327900016,0.408041481,0.229054143,0.16721184,-0.128756551,-0.110902309,-0.293908286,0.27573126,0.187812889,-0.144428398,-0.258415656,-0.191450801,-0.306268915,-0.328355644,-0.254079593,0.470390598,0.371072678,0.472086907,0.256460004,0.659469282,0.286206982,-0.286697919,-0.335453733,-0.377342531,-0.266709182,0.326526612,0.417514575,0.424381591,0.122232885,0.169615296,-0.367042007,-0.444295937
TP_inf_log,0.264957265,-0.037948718,0.097435897,0.260854701,0.279316239,0.089230769,0.203302374,0.221538462,0.31845395,0.018515422,0.215309145,-0.086621796,0.328586717,1,0.898119658,-0.196643101,0.053227846,0.087863248,0.138946001,0.047521368,-0.19042735,-0.221196581,-0.027692308,0.288461538,0.092665414,-0.284102564,0.047521368,0.133675214,-0.156239316,-0.072840203,0.19042735,-0.076607392,-0.285860835,-0.201743891,0.019487179,0.025649796,0.051623932,0.436581197,0.38487864,0.354088348,0.106863307,0.55944708,0.291139309,-0.011965812,-0.004444444,0.029059829,0.252057524,0.420854701,0.464615385,0.443418803,0.187692308,0.282735043,-0.254700855,-0.335384615
TN_inf_log,0.152820513,-0.096068376,0.218461538,0.171965812,0.331965812,0.027692308,0.176470588,0.176923077,0.316401615,-0.148466257,0.148583947,0.036527264,0.280517605,0.898119658,1,-0.000342584,-0.004530029,0.163076923,0.133128065,0.130940171,-0.26974359,-0.217777778,-0.124786325,0.248461538,-0.117285008,0.018803419,0.096752137,0.04,-0.05025641,-0.155279503,0.26974359,-0.171682637,-0.348435635,-0.277654304,0.135726496,0.135772922,0.177435897,0.392136752,0.352035662,0.354772577,0.056554283,0.531577945,0.209031866,0.115213675,0.124102564,0.141880342,0.139004925,0.420854701,0.451623932,0.444786325,0.07965812,0.193162393,-0.104957265,-0.205470085
NH4_inf_log,-0.123672752,-0.143200028,0.51113503,-0.1712919,0.176088073,-0.309695755,0.282024944,0.259445567,0.003770356,-0.252877606,-0.028261466,0.413781672,-0.146224346,-0.196643101,-0.000342584,1,-0.197443214,0.43816468,0.156378684,0.522440295,-0.269956034,0.535115896,-0.130181844,-0.204318203,-0.459826069,0.010962682,-0.178828744,-0.231244065,0.533745561,-0.150142511,0.269956034,-0.293352041,-0.202330323,-0.262121418,0.646113047,0.601440225,0.646455631,0.079136858,0.124443038,-0.121014855,-0.044502105,-0.073608682,-0.324306099,0.492635505,0.546078577,0.446386692,-0.097966776,-0.362796244,-0.321343605,-0.300103409,-0.336759876,-0.331621119,0.358685239,0.409045057
DOC_inf_log,0.544736045,0.486411916,-0.666480587,-0.11211823,0.332957167,0.771803773,-0.308370792,0.087769321,0.5039673,0.050510791,0.081104365,-0.097020696,0.761693637,0.053227846,-0.004530029,-0.197443214,1,-0.535109732,-0.243051773,-0.500002004,0.343149733,-0.577578759,0.020385133,0.379389969,0.194279872,0.178936165,0.308608258,0.240091563,-0.041336519,0.45640047,-0.343149733,0.374505211,0.321065839,0.340697793,-0.677805661,-0.707933829,-0.683468198,0.206682595,0.081540531,0.476191165,0.113320084,0.239161706,0.703485718,-0.661384304,-0.689130735,-0.740093567,-0.053247239,0.285958111,0.274066784,0.266705486,0.587771325,0.573614983,-0.575879998,-0.637035396
NO3NO2_inf,0.073504274,-0.081709402,0.871452991,-0.010598291,0.461880342,-0.412649573,0.622291022,0.508461538,-0.301693216,0.027773134,0.113157682,0.46302655,-0.052876023,0.087863248,0.163076923,0.43816468,-0.535109732,1,0.642026348,0.850940171,-0.865299145,0.314871795,-0.561709402,-0.518461538,-0.404855537,0.128888889,-0.808547009,-0.772307692,-0.312820513,-0.884810841,0.865299145,-0.854651213,-0.823388625,-0.865789036,0.751794872,0.761285954,0.759316239,0.377777778,0.466301854,-0.34793029,0.241483318,0.24325282,-0.529935122,0.674529915,0.701196581,0.658803419,-0.222905596,-0.258803419,-0.166495726,-0.152136752,-0.580854701,-0.571282051,0.47008547,0.493333333
SRP_inf,0.459616943,0.315879701,0.619096836,-0.180698247,0.213894705,-0.328884499,0.551762495,0.477859387,-0.085944199,0.16131829,0.258051072,0.290428865,-0.036260719,0.138946001,0.133128065,0.156378684,-0.243051773,0.642026348,1,0.207392306,-0.62457254,0.235455292,-0.044147867,-0.333846969,-0.089679992,0.031143069,-0.560917476,-0.4993158,-0.426420485,-0.49321338,0.62457254,-0.532523233,-0.645901315,-0.624165897,0.62902155,0.621020344,0.614305594,0.622176919,0.602397296,-0.538356196,0.5520575,0.318413354,-0.291438373,0.590691619,0.550992761,0.535934574,0.039858169,-0.121834424,0.06502399,0.051334729,-0.371321209,-0.418206928,0.306981681,0.40520213
NH4NO3_SRP_inf,-0.18974359,-0.323760684,0.682051282,0.08034188,0.426324786,-0.356581197,0.587203302,0.432307692,-0.331794126,-0.184468467,-0.055031091,0.324570827,-0.024377907,0.047521368,0.130940171,0.522440295,-0.500002004,0.850940171,0.207392306,1,-0.647863248,0.331965812,-0.632820513,-0.498461538,-0.506753299,0.063247863,-0.622564103,-0.591111111,-0.022905983,-0.708639187,0.647863248,-0.679548603,-0.574115242,-0.648999839,0.56991453,0.590287312,0.584957265,0.094017094,0.205610722,-0.147451283,0.027756703,0.05470608,-0.470407226,0.506324786,0.55965812,0.50974359,-0.306806266,-0.200683761,-0.202735043,-0.168547009,-0.444786325,-0.410598291,0.363418803,0.32991453
mean_flow,-0.231452991,-0.112478632,-0.723760684,0.022222222,-0.673162393,0.162393162,-0.552115583,-0.424615385,0.065332658,-0.001028635,-0.277907012,-0.326658099,-0.187812889,-0.19042735,-0.26974359,-0.269956034,0.343149733,-0.865299145,-0.62457254,-0.647863248,1,0.046837607,0.748376068,0.240769231,0.277996243,-0.346324786,0.887179487,0.898119658,0.568547009,0.968379447,-1,0.949726458,0.974867513,0.999145168,-0.563760684,-0.573529445,-0.575384615,-0.48034188,-0.456722652,0.095449903,-0.371245905,-0.428358927,0.381457496,-0.524102564,-0.495384615,-0.457777778,0.297562972,0.052991453,-0.055726496,-0.074188034,0.55008547,0.517264957,-0.375042735,-0.380512821
NO3NO2_load,-0.188376068,-0.44,0.375726496,0.086495726,-0.44,-0.489230769,0.1124871,0.124615385,-0.322216564,-0.103549214,-0.105590907,0.050094533,-0.556915,-0.221196581,-0.217777778,0.535115896,-0.577578759,0.314871795,0.235455292,0.331965812,0.046837607,1,0.357264957,-0.461538462,-0.155924092,-0.462564103,0.017435897,0.163760684,0.460512821,-0.007340486,-0.046837607,0.061901508,0.10805266,0.045819799,0.562393162,0.523597842,0.555555556,-0.025641026,0.12281905,-0.54704084,-0.040594178,-0.28178792,-0.369825608,0.397606838,0.473504274,0.476239316,0.220061505,-0.470769231,-0.454358974,-0.486495726,-0.204102564,-0.288888889,0.312136752,0.379145299
