Chla_sqrt,Chla_ARlag1_sqrt,DO_mgL,SpCond_uScm,Turb_NTU_log,TP_log,NH4_inf_log,Temp_inf_max,WindSpeed_median_log,RelHum_median,ShortWave_mean
1,0.550718701,-0.084063128,0.373840437,0.296341432,-0.109260141,-0.059146082,-0.127055124,-0.059829297,0.152223674,-0.431288054
0.550718701,1,-0.133734099,0.264505327,0.24551212,-0.028425747,-0.086533468,-0.128253176,-0.03830297,0.065040263,-0.317851299
-0.084063128,-0.133734099,1,-0.191012798,-0.005805966,-0.068644561,0.003123943,-0.169187962,0.168466022,-0.161626926,0.073914131
0.373840437,0.264505327,-0.191012798,1,0.077609036,0.31765297,-0.176213732,-0.335167153,-0.103902362,0.149598273,-0.337349063
0.296341432,0.24551212,-0.005805966,0.077609036,1,0.216512841,-0.349819676,-0.238860884,-0.087015349,0.103900377,-0.195136982
-0.109260141,-0.028425747,-0.068644561,0.31765297,0.216512841,1,-0.271602409,-0.1698651,-0.007879846,0.224972236,0.143529536
-0.059146082,-0.086533468,0.003123943,-0.176213732,-0.349819676,-0.271602409,1,0.245574089,-0.06368172,0.085385824,0.17075997
-0.127055124,-0.128253176,-0.169187962,-0.335167153,-0.238860884,-0.1698651,0.245574089,1,-0.114942586,-0.034468569,0.4538035
-0.059829297,-0.03830297,0.168466022,-0.103902362,-0.087015349,-0.007879846,-0.06368172,-0.114942586,1,-0.038671473,0.013390913
0.152223674,0.065040263,-0.161626926,0.149598273,0.103900377,0.224972236,0.085385824,-0.034468569,-0.038671473,1,-0.475363501
-0.431288054,-0.317851299,0.073914131,-0.337349063,-0.195136982,0.143529536,0.17075997,0.4538035,0.013390913,-0.475363501,1
