"Date","Depth","Temp_C","DO_mgL","Chla_ugL","Turb_NTU","SpCond_uScm","TP_ugL","TN_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TP_inf","TN_inf","NH4_inf","NO3NO2_inf","DOC_inf","SRP_inf","Kd","TN_TP","NH4NO3NO2_SRP","TN_TP_inf","NH4NO3_SRP_inf"
2013-05-02,0.1,16.802,8.93689,0.25,1.0456,37.42304944,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,1,16.7174,9.00548,0.3055,0.9953,37.32666982,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,1.6,16.036,9.04913,0.5475,1.1128,36.96206121,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,2.8,13.9807,9.3165,2.2614,1.566,36.87614464,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,3.8,10.1059,9.96922,2.4677,0.4414,34.91958864,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5,8.0569,8.49566,0.8451,0.5085,34.88195268,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.2,7.9488,8.54128,0.7776,0.8274,34.95965756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.5,7.7811,8.25276,0.7737,0.7603,35.07445721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.8,7.5851,7.82245,0.6626,0.7099,35.21290513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,6,7.4989,7.68406,0.615,0.7267,35.42073479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,6.2,7.4294,7.60784,0.6229,0.8106,35.31685523,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,8,7.1445,7.16381,0.5396,1.096,35.95811096,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,9,7.0818,6.42219,0.492,1.3478,36.7921072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,9.3,7.0681,6.36583,0.5079,1.5828,36.85168644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,0.1,14.6519,8.77974,0.0714,0.1896,36.60589491,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,1,14.4946,8.75546,1.0196,2.5898,36.69257048,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,1.6,14.4172,8.81686,1.8885,2.5731,36.67113724,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,2.8,13.0332,8.57746,1.5037,6.249,35.8350691,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,3.8,10.849,9.41018,2.0115,1.3142,34.91256118,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5,8.5162,8.18678,1.1942,0.2232,34.76268341,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.2,8.2848,8.02788,1.0553,0.1896,34.6978143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.5,8.0328,7.79448,0.8689,0.1896,34.86194386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.8,7.8266,7.69542,0.7618,0.2232,34.96067326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,6,7.7255,7.66842,0.6388,0.1896,35.10663756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,6.2,7.6494,7.51532,0.5713,0.4749,35.09486504,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,8,7.3703,6.14446,0.3769,0.9785,36.2581709,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,9,7.297,5.85841,0.3174,1.8681,36.86682651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,9.3,7.2842,5.57546,0.3214,1.2638,37.30657075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,0.1,15.7607,8.67911,1.345,2.8248,36.76630501,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,1,15.4593,8.64064,2.2455,3.0598,36.771485,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,1.6,14.8891,8.55827,2.309,4.4026,36.50392738,26.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,2.8,13.265,8.2207,3.5032,5.4936,36.77591168,27.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,3.8,10.754,8.47597,2.4122,3.3955,35.39740959,32.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,5,8.3859,7.08338,0.972,0.4414,35.76668716,31.93333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
