Date,waterlevelbelow_ft
2009-09-01,0
2009-10-08,0
2009-11-23,0
2009-12-29,0
2010-01-28,0
2010-02-27,0
2010-03-17,0
2010-04-22,0
2010-05-14,0
2010-06-12,0
2010-07-20,-1.2
2010-08-10,-2.4
2010-09-28,-8.2
2010-10-29,-9.2
2010-11-22,-10
2010-12-16,-9.8
2011-01-22,-9
2011-02-16,-7.8
2011-03-25,-4.8
2011-04-22,-0.8
2011-05-20,0
2011-05-26,0
2011-06-07,0
2011-06-16,-0.2
2011-06-24,-0.4
2011-07-01,-0.8
2011-07-14,-0.6
2011-07-25,-0.9
2011-08-01,-1.2
2011-08-10,-2
2011-08-23,-2.6
2011-08-31,-3
2011-09-08,-2
2011-09-26,-2.8
2011-10-04,-4.2
2011-10-13,-4.4
2011-10-20,-5.2
2011-10-27,-6.2
2011-11-28,-4.8
2011-12-08,-4.2
2011-12-15,-2.7
2011-12-29,-1.9
2012-01-12,-1.4
2012-01-30,-0.7
2012-02-08,-0.2
2012-02-17,-0.2
2012-02-24,0.2
2012-03-02,0.3
2012-03-09,0.2
2012-03-16,0.3
2012-03-23,0.2
2012-03-30,0.3
2012-04-17,0.3
2012-05-04,0.2
2012-05-11,0.2
2012-05-19,0.2
2012-05-24,0.2
2012-06-01,-0.1
2012-06-08,-0.3
2012-06-19,-0.4
2012-06-28,-0.8
2012-07-12,-1.3
2012-07-24,-1.5
2012-08-01,-1.8
2012-08-14,-2.5
2012-08-28,-2.8
2012-09-10,-3.8
2012-09-20,-4
2012-09-27,-4.4
2012-10-04,-4.9
2012-10-12,-4.9
2012-10-26,-4.8
2012-11-02,-4.7
2012-11-09,-4.6
2012-11-15,-4.6
2012-11-30,-4.6
2012-12-20,-4.3
2013-01-17,-2.8
2013-01-31,-1.6
2013-02-12,-0.9
2013-03-11,0
2013-04-22,0.2
2013-05-10,0.4
2013-05-31,0.2
2013-06-14,0.4
2013-06-27,0.4
2013-07-18,0.2
2013-08-16,0.4
2013-08-22,0.2
2013-08-30,0.3
2013-09-10,0.1
2013-09-20,0
2013-10-03,0
2013-10-10,-0.1
2013-10-24,-0.1
2013-11-01,-0.2
2013-11-07,-0.2
2013-11-14,-0.3
2013-12-05,-0.2
2013-12-19,0
2014-01-02,0.1
2014-01-09,0.3
2014-01-17,0.2
2014-02-12,0.3
2014-02-25,0.3
2014-03-10,0.3
2014-03-20,0.3
2014-03-28,0.3
2014-04-11,0.3
2014-04-22,0.2
2014-04-28,0.3
2014-04-30,0.2
2014-05-01,0.2
2014-05-05,0
2014-05-06,-0.1
2014-05-08,-0.15
2014-05-12,-0.25
2014-05-14,-0.3
2014-05-16,-0.2
2014-05-19,-0.25
2014-05-22,-0.3
2014-05-27,-0.45
2014-05-30,-1
2014-06-02,-1.2
2014-06-05,-1.4
2014-06-09,-1.7
2014-06-11,-1.6
2014-06-13,-1.4
2014-06-18,-1.8
2014-06-24,-2.3
2014-06-27,-2.6
2014-07-08,-3.3
2014-07-14,-3.5
2014-07-17,-4
2014-07-22,-4.4
2014-07-29,-4.5
2014-08-06,-5.4
2014-08-11,-5.3
2014-08-15,-5.4
2014-08-21,-5.5
2014-08-28,-5.5
2014-09-05,-5.7
2014-09-15,-5.8
2014-09-25,-5.8
2014-10-01,-6
2014-10-09,-6
2014-10-16,-5.8
2014-11-05,-6
2014-11-12,-6.2
2014-11-21,-6.2
2014-12-05,-6
2014-12-18,-6.2
2015-01-08,-6.2
2015-01-22,-6.2
2015-02-12,-6.3
2015-03-09,-5.6
2015-03-18,-5.9
2015-03-27,-6
2015-04-03,-6.1
2015-04-20,-5.3
2015-05-01,-5.8
2015-05-15,-6
2015-05-26,-5.62
2015-05-27,-5.64
2015-06-11,-6.1
2015-06-18,-6
2015-06-23,-6.1
2015-07-03,-5.72
2015-07-07,-5.8
2015-07-21,-5.67
2015-07-29,-5.9
2015-08-11,-6
2015-08-20,-6.2
2015-08-27,-6.2
2015-09-03,-6.2
2015-09-11,-6.2
2015-09-22,-6
2015-09-28,-5.8
2015-10-02,-4.8
2015-10-05,-4.5
2015-10-09,-4.7
2015-10-16,-5.2
2015-10-22,-5.7
2015-10-29,-5.4
2015-11-10,-5.8
2015-11-17,-5.5
11/24//2015,-5.7
2015-12-03,-5.6
2015-12-11,-5.7
2015-12-16,-5.8
2015-12-22,-5.6
2015-12-30,-5.7
2016-01-07,-5.7
2016-01-20,-5.8
2016-02-04,-5.6
2016-02-12,-5.5
2016-02-24,-4.4
2016-02-25,-4.2
2016-03-02,-4.9
2016-03-08,-4.2
2016-03-17,-4
2016-03-23,-4.2
2016-04-01,-4.5
2016-04-08,-4.6
2016-04-14,-4.8
2016-04-28,-5.2
2016-05-12,-4.7
2016-05-26,-5.4
2016-06-10,-5.5
2016-06-29,-5.7
2016-07-13,-5.6
2016-07-25,-6
2016-08-12,-5.7
2016-08-25,-6
2016-09-30,-4.5
2016-10-06,-4.2
2016-10-12,-3.2
2016-10-20,-3.4
2016-10-27,-4.2
2016-11-04,-4.8
2016-11-10,-5.2
2016-11-16,-5.8
2016-11-30,-6
2016-12-09,-5.9
2016-12-14,-6.3
2016-12-21,-6.5
2016-12-28,-6.6
2017-01-06,-6.8
2017-01-11,-6.8
2017-01-18,-6.9
2017-01-26,-6.4
2017-02-03,-6.6
2017-02-24,-6.6
2017-03-09,-6.7
2017-03-17,-7
2017-04-07,-7
2017-04-14,-7
2017-04-19,-7.1
2017-04-27,-5.9
2017-05-19,-6
2017-06-02,-5.8
2017-06-08,-6
2017-06-16,-6
2017-06-23,-6.2
2017-06-29,-6.8
2017-07-07,-8.3
2017-07-14,-10
2017-07-19,-10.6
2017-07-28,-10.7
2017-08-10,-10.3
2017-08-18,-10.1
2017-08-25,-10
2017-08-30,-10
2017-09-07,-9.8
2017-09-13,-9.7
2017-09-22,-9.6
2017-09-27,-9.6
2017-10-06,-9.5
2017-10-12,-9.3
2017-10-20,-9.2
2017-10-27,-9
2017-11-03,-8.9
2017-11-14,-8.7
2017-12-01,-8.6
2017-12-06,-8.6
2017-12-12,-8.5
2017-12-20,-8.4
2017-12-28,-8.4
2018-01-05,-8.4
2018-01-24,-8
2018-02-16,-7.8
2018-03-02,-7.2
2018-03-08,-6.2
2018-03-15,-6.3
2018-03-23,-6
2018-03-29,-6
2018-04-05,-6.1
2018-04-13,-6.2
2018-04-20,-6.2
2018-04-26,-5.7
2018-05-04,-5.9
2018-05-10,-6
2018-05-17,-5.8
2018-05-18,-5
2018-05-24,-4
2018-06-01,-4
2018-06-07,-4.7
2018-06-15,-5
2018-06-21,-5.6
2018-06-28,-6
2018-07-02,-6.2
2018-07-05,-6.3
2018-07-13,-6.7
2018-07-17,-6.9
2018-07-26,-6.8
2018-08-03,-6.9
2018-08-07,-6.9
2018-08-14,-7
2018-08-22,-7.2
2018-08-31,-7.6
2018-09-07,-9
2018-09-10,-8.6
2018-09-12,-8.2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
