"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Flag","DOY"
2018-04-20 15:50:00,0.1,14.7479,0.4552,0.8311,37.983,30.175773,9.6452,95.08,7.407,238.1048,1452.9,2.542813106,0.041,0,110.6597222
2018-04-23 14:09:00,0.1,13.5607,1.1247,1.2464,36.446,28.119393,9.9528,95.679,7.42,301.5369,202.52,2.508754475,0.072,0,113.5895833
2018-04-30 17:02:00,0.1,15.5508,0.2649,1.2719,34.822,28.17907,9.45,94.65,7.218,324.1225,1183.5,2.272374303,0.083,0,120.7097222
2018-05-04 13:55:00,0.1,19.5629,0.4115,0.5757,35.155,31.30807,8.8077,95.967,7.336,349.5555,914.58,2.082991772,0.034,0,124.5798611
2018-05-07 12:14:00,0.1,19.9558,0.9537,0.7768,35.007,31.475713,8.3862,92.157,7.223,319.9488,531.43,2.054746499,0.056,0,127.5097222
2018-05-11 12:00:00,0.1,22.0623,0.8558,0.4703,35.343,32.784804,7.386,83.47,7.297,309.0199,137.34,1.977849959,0.108,0,131.5
2018-05-14 13:40:00,0.1,24.3799,0.5492,0.403,35.618,35.079311,7.9675,95.083,7.364,302.4389,1801.9,1.894394813,0.063,0,134.5694444
2018-05-17 12:57:00,0.1,22.6666,1.6377,0.5948,33.088315,34.71,8.3012,95.921,7.266,250.9059,182.69,0.0229,0.068,0,137.5395833
2018-05-21 15:36:00,0.1,21.0907,1.7711,4.5292,28.283488,30.669,8.8592,99.59,6.978,299.8553,1455,0.0208,0.044,0,141.65
2018-05-28 11:02:00,0.1,23.1231,3.5018,1.951,29.708998,30.87,7.9099,92.282,7.192,322.6454,487.55,0.0215,0.038,0,148.4597222
2018-06-04 11:31:00,0.1,23.0797,1.1573,1.0466,31.463,30.259037,6.4084,74.833,7.195,301.017,414.19,1.709391023,0.078,0,155.4798611
2018-06-07 10:04:00,0.1,21.0823,1.0538,1.0567,33.391,31.136551,8.9226,101.313,6.832,330.7473,1288.3,1.90421751,0.1,0,158.4194444
2018-06-11 09:36:00,0.1,24.6738,1.5546,0.6845,31.703,31.501998,7.521,90.49,7.192,296.6243,162.72,1.664071869,0.031,0,162.4
2018-06-14 13:40:00,0.1,24.0536,1.7298,0.5844,32.598,31.979772,8.6039,102.306,7.405,262.9742,182.09,1.737074534,0.047,0,165.5694444
2018-06-18 15:21:00,0.1,27.2422,0.6996,0.6351,34.995217,33.437,8.909,111.504,7.778,274.7938,1534.4,0.0236,0.097,0,169.6395833
2018-06-25 10:33:00,0.1,26.2219,2.8023,1.9107,33.56664,32.768,8.4528,104.611,7.929,272.9388,93.79,0.0231,0.078,0,176.4395833
2018-07-02 09:50:00,0.1,27.4739,1.2697,0.8097,36.156117,34.329,8.5599,107.967,7.872,266.6924,1051.1,0.024,0.062,0,183.4097222
2018-07-05 12:28:00,0.1,28.8083,2.0825,0.8365,40.471,37.605,5.9827,77.541,7.756,199.3822,583.34,0.0257,0.006,0,186.5194444
2018-07-09 09:50:00,0.1,25.5168,1.9895,1.2393,37.664315,35.224,9.1495,112.527,8.28,234.4002,1186.7,0.0239,0.037,0,190.4097222
2018-07-16 09:50:00,0.1,27.3995,1.8075,0.8902,37.080659,35.363,8.776,110.934,8.453,233.2644,618.84,0.0244,0.048,0,197.4097222
2018-07-19 10:04:00,0.1,26.9707,2.4842,2.4857,36.545,37.980373,6.4981,81.499,8.492,244.6176,1098.5,1.841960555,0.042,0,200.4194444
2018-07-26 15:36:00,0.1,26.9256,2.3599,3.244,36.424,37.77483,10.3619,129.701,8.874,207.2052,1678.1,1.837235311,0.052,0,207.65
2018-07-30 10:33:00,0.1,25.6653,4.9475,3.9933,35.109,35.562125,7.9255,97.058,8.873,200.3316,68.544,1.814771095,0.095,0,211.4395833
2018-08-02 12:28:00,0.1,25.3842,2.41,3.5758,35.571961,35.308,8.0527,98.073,8.349,177.0464,405.72,0.0239,0.023,0,214.5194444
2018-08-06 09:37:00,0.1,25.983,2.2872,3.3112,36.92,37.66221,5.2235,64.39,7.409,249.3861,339.15,1.901182192,0.07,0,218.4008449
2018-08-09 13:53:00,0.1,28.4272,3.3805,2.2196,39.286999,36.745,6.8955,88.625,8.162,218.8787,166.82,0.0252,0.063,0,221.5791088
2018-08-10 12:22:00,0.1,27.214,4.6098,2.139,37.67944,36.09,6.8738,86.622,7.984,247.6123,209.58,0.0247,0.084,0,222.5154282
2018-08-13 09:52:00,0.1,25.8044,4.8079,0.9171,36.632848,36.009,8.3245,102.285,7.671,230.6144,809.81,0.0243,0.031,0,225.4113773
2018-08-14 11:59:00,0.1,26.5094,2.5385,0.6205,36.795,37.920611,6.0785,75.641,7.57,240.886,349.54,1.873377813,0.047,0,226.4993403
