"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"1","FCR",50,2016-10-11,0.265,17.0702,5.71307,28.767958,NA,2.0682,5.5925,NA,NA,33.9028569067544
"2","FCR",50,2016-10-14,0.212,16.4313,7.65492,30.878134,NA,2.1606,3.5196,NA,NA,36.9206472461015
"3","FCR",50,2014-10-15,0.101,17.6674,8.46816,30.159253,NA,10.569,2.657,NA,NA,35.0710463270925
"4","FCR",50,2017-10-15,0.315,20.3562,NA,37.153401,40.953,NA,NA,7.629,293.5965,40.7695177968278
"5","FCR",50,2013-10-16,0.508,17.5697,8.62747,35.349345,NA,5.1377,1.5492,NA,NA,41.1958007194353
"6","FCR",50,2017-10-16,0.301,19.5617,NA,35.860997,40.233,NA,NA,7.958,293.7405,40.0176963465964
"7","FCR",50,2015-10-19,0.742,14.3825,5.67525,34.296696,NA,0.6739,3.7837,NA,NA,43.0211347572443
"8","FCR",50,2015-10-02,0.746,18.8554,7.80221,26.423464,NA,3.7138,4.2352,NA,NA,29.9369161636274
"9","FCR",50,2013-10-23,0.522,15.1589,8.43282,33.778236,NA,4.8838,2.6066,NA,NA,41.5970203451455
"10","FCR",50,2014-10-23,0.297,14.2302,8.78651,30.584279,NA,4.3165,3.6977,NA,NA,38.5048488548651
"11","FCR",50,2015-10-23,0.745,15.6039,9.14047,25.126605,NA,1.477,2.9298,NA,NA,30.6222411199315
"12","FCR",50,2015-10-23,0.64,15.7964,7.16761,29.860264,NA,1.639,5.4137,NA,NA,36.2288968541608
"13","FCR",50,2013-10-30,0.536,13.3158,9.20845,32.83318,NA,5.4393,2.1702,NA,NA,42.2654953688944
"14","FCR",50,2014-10-04,0.099,20.2158,8.97054,31.962451,NA,3.4556,1.801,NA,NA,35.1768488314247
"15","FCR",50,2015-10-05,0.953,16.8134,6.83447,31.097065,NA,2.4399,4.827,NA,NA,36.8607636606852
"16","FCR",50,2016-10-05,0.639,20.9112,6.12245,33.132056,NA,3.1792,4.3305,NA,NA,35.9387299275178
"17","FCR",50,2016-10-06,0.543,19.6861,5.21628,30.871014,NA,2.7344,4.6043,NA,NA,34.3582181908024
"18","FCR",50,2016-10-06,0.655,19.6826,5.69446,30.778669,NA,2.8404,4.8087,NA,NA,34.2579906990987
"19","FCR",50,2016-10-07,0.526,19.9404,5.51459,31.90811,NA,3.3572,4.3399,NA,NA,35.3215241683275
"20","FCR",50,2016-10-07,0.593,19.6561,5.50354,30.810825,NA,3.476,4.5449,NA,NA,34.3131125891773
"21","FCR",50,2016-10-07,0.614,19.5276,5.3661,30.475468,NA,3.3132,4.5947,NA,NA,34.0326580747185
"22","FCR",50,2017-10-08,0.317,26.661,NA,5.206778,5.039,NA,NA,7.901,256.9792,5.04667183147914
"23","FCR",50,2014-11-10,0.136,10.4709,10.23044,27.020415,NA,5.7884,2.2877,NA,NA,37.3987990131796
"24","FCR",50,2016-11-11,0.18,13.3215,8.68325,26.14012,NA,2.566,1.9493,NA,NA,33.6449380013776
"25","FCR",50,2013-11-20,0.501,8.593,9.67768,28.418102,NA,2.6701,0.9449,NA,NA,41.3880184898248
"26","FCR",50,2016-11-04,0.565,16.031,6.5516,28.188223,NA,1.785,1.733,NA,NA,34.0153152177992
"27","FCR",50,2013-11-06,0.501,12.0631,6.5608,31.988647,NA,3.0192,1.5828,NA,NA,42.4869513122376
"28","FCR",50,2014-12-10,0.356,5.3478,10.62818,23.427747,NA,0.5356,2.7913,NA,NA,37.5058197244128
"29","FCR",50,2017-12-10,0.312,6.1414,10.3504,26.893608,43.178,NA,NA,6.922,388.2715,42.0343496320432
