Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophyta
FCR,2014,2014-05-05 13:08:33,0.1,0.67,0,0.67,0,0
FCR,2014,2014-05-05 13:08:50,0.33,1.44,0,0.9,0.54,0
FCR,2014,2014-05-05 13:08:50,0.51,4.49,3.65,0.31,0.53,0
FCR,2014,2014-05-05 13:09:07,0.83,1.9,1.9,0,0,0
FCR,2014,2014-05-05 13:09:16,1.02,4.05,3.75,0.24,0.06,0
FCR,2014,2014-05-05 13:09:24,1.27,2.92,1.56,0,0,1.36
FCR,2014,2014-05-05 13:09:24,1.45,1.58,0,0.37,0.79,0.42
FCR,2014,2014-05-05 13:09:33,1.88,3.66,1.74,0.15,1.5,0.27
FCR,2014,2014-05-05 13:09:42,2.13,5.01,3.7,0.17,0,1.14
FCR,2014,2014-05-05 13:09:50,2.43,5.9,2.38,0.13,3.39,0
FCR,2014,2014-05-05 13:09:50,2.7,4.65,1.14,0.58,2.93,0
FCR,2014,2014-05-05 13:09:59,3,5.74,2.34,0.12,3.29,0
FCR,2014,2014-05-05 13:10:08,3.34,5.6,3.5,0,2.1,0
FCR,2014,2014-05-05 13:10:16,3.73,5.73,3.34,0,1.99,0.4
FCR,2014,2014-05-05 13:10:16,4.06,5.53,2.8,0.33,2.39,0
FCR,2014,2014-05-05 13:10:25,4.35,5.47,2.27,0,2.88,0.32
FCR,2014,2014-05-05 13:10:34,4.64,6.32,2.2,0.03,3.54,0.55
FCR,2014,2014-05-05 13:10:34,4.96,7.75,3.52,0,4.11,0.12
FCR,2014,2014-05-05 13:10:42,5.25,9.04,3.8,0,5.24,0
FCR,2014,2014-05-05 13:10:42,5.49,9.93,4.07,0,5.85,0
FCR,2014,2014-05-05 13:10:51,5.82,8.36,3.35,0,5.01,0
FCR,2014,2014-05-05 13:11:00,6.15,6.86,2.76,0,4.02,0.08
FCR,2014,2014-05-05 13:11:00,6.45,5.32,2.07,0,3.17,0.07
FCR,2014,2014-05-05 13:11:08,6.74,4.22,2.27,0,1.69,0.26
FCR,2014,2014-05-05 13:11:08,7.05,3.21,1.66,0,1.46,0.08
FCR,2014,2014-05-05 13:11:17,7.41,2.17,1.16,0.06,0.74,0.22
FCR,2014,2014-05-05 13:11:25,7.71,2.17,1.26,0,0.79,0.12
FCR,2014,2014-05-05 13:11:25,8.01,1.7,0.87,0.11,0.67,0.05
FCR,2014,2014-05-05 13:11:34,8.35,1.6,0.94,0.08,0.57,0
FCR,2014,2014-05-05 13:11:43,8.68,1.09,0.53,0.06,0.36,0.15
FCR,2014,2014-05-05 13:11:43,8.92,1.17,0.62,0.07,0.48,0
FCR,2014,2014-05-08 11:43:26,0.22,1.78,0.62,0.07,0.48,0
FCR,2014,2014-05-08 11:43:52,0.38,1.86,0,1.78,0,0
FCR,2014,2014-05-08 11:44:01,0.63,2.86,0,1.04,0.82,0
FCR,2014,2014-05-08 11:44:10,0.87,3.55,1.91,0.55,0.4,0
FCR,2014,2014-05-08 11:44:53,1.12,3.34,2.76,0.15,0.64,0
FCR,2014,2014-05-08 11:44:53,1.49,2.53,3.11,0.12,0,0.11
FCR,2014,2014-05-08 11:45:01,1.75,3.75,1.68,0.03,0.82,0
FCR,2014,2014-05-08 11:45:10,2.22,1.94,0,0.87,2.88,0
FCR,2014,2014-05-08 11:45:10,2.65,4.99,1.28,0.27,0,0.39
