
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20190506,,Exported,"Aqua4Plus 1.9.10"
# Records,  2013 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,14.63,14.197,
,Maximum,22.00,14.464,
,Mean,18.85,14.329,
,Variance,2.261,0.0034,
,Std Deviation,1.504,0.0583,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,6-May-19 14:00:00,19.50,14.389
2,6-May-19 14:15:00,19.63,14.389
3,6-May-19 14:30:00,19.69,14.390
4,6-May-19 14:45:00,19.75,14.391
5,6-May-19 15:00:00,19.81,14.391
6,6-May-19 15:15:00,19.88,14.386
7,6-May-19 15:30:00,19.94,14.388
8,6-May-19 15:45:00,19.94,14.386
9,6-May-19 16:00:00,19.94,14.386
10,6-May-19 16:15:00,19.94,14.386
11,6-May-19 16:30:00,19.94,14.386
12,6-May-19 16:45:00,19.94,14.384
13,6-May-19 17:00:00,19.88,14.386
14,6-May-19 17:15:00,19.94,14.386
15,6-May-19 17:30:00,19.88,14.391
16,6-May-19 17:45:00,19.94,14.391
17,6-May-19 18:00:00,20.00,14.389
18,6-May-19 18:15:00,19.94,14.389
19,6-May-19 18:30:00,19.94,14.392
20,6-May-19 18:45:00,19.88,14.389
21,6-May-19 19:00:00,19.81,14.392
22,6-May-19 19:15:00,19.81,14.396
23,6-May-19 19:30:00,19.81,14.393
24,6-May-19 19:45:00,19.75,14.397
25,6-May-19 20:00:00,19.75,14.403
26,6-May-19 20:15:00,19.69,14.408
27,6-May-19 20:30:00,19.63,14.410
28,6-May-19 20:45:00,19.56,14.410
29,6-May-19 21:00:00,19.50,14.414
30,6-May-19 21:15:00,19.44,14.416
31,6-May-19 21:30:00,19.38,14.422
32,6-May-19 21:45:00,19.31,14.425
33,6-May-19 22:00:00,19.25,14.429
34,6-May-19 22:15:00,19.25,14.427
35,6-May-19 22:30:00,19.19,14.428
36,6-May-19 22:45:00,19.13,14.427
37,6-May-19 23:00:00,19.13,14.428
38,6-May-19 23:15:00,19.13,14.426
39,6-May-19 23:30:00,19.13,14.427
40,6-May-19 23:45:00,19.06,14.428
41,7-May-19 00:00:00,19.06,14.431
42,7-May-19 00:15:00,19.00,14.432
43,7-May-19 00:30:00,19.00,14.435
44,7-May-19 00:45:00,18.94,14.433
45,7-May-19 01:00:00,18.94,14.439
46,7-May-19 01:15:00,18.88,14.435
47,7-May-19 01:30:00,18.81,14.432
48,7-May-19 01:45:00,18.81,14.434
49,7-May-19 02:00:00,18.75,14.435
50,7-May-19 02:15:00,18.75,14.435
51,7-May-19 02:30:00,18.75,14.433
52,7-May-19 02:45:00,18.69,14.435
53,7-May-19 03:00:00,18.63,14.434
54,7-May-19 03:15:00,18.63,14.437
55,7-May-19 03:30:00,18.63,14.432
56,7-May-19 03:45:00,18.56,14.430
57,7-May-19 04:00:00,18.56,14.427
58,7-May-19 04:15:00,18.56,14.428
59,7-May-19 04:30:00,18.50,14.430
60,7-May-19 04:45:00,18.50,14.431
61,7-May-19 05:00:00,18.50,14.432
62,7-May-19 05:15:00,18.44,14.431
63,7-May-19 05:30:00,18.44,14.432
64,7-May-19 05:45:00,18.38,14.429
65,7-May-19 06:00:00,18.38,14.428
66,7-May-19 06:15:00,18.38,14.433
67,7-May-19 06:30:00,18.31,14.433
68,7-May-19 06:45:00,18.31,14.439
69,7-May-19 07:00:00,18.31,14.436
70,7-May-19 07:15:00,18.31,14.446
71,7-May-19 07:30:00,18.25,14.451
72,7-May-19 07:45:00,18.31,14.452
73,7-May-19 08:00:00,18.31,14.454
74,7-May-19 08:15:00,18.38,14.449
75,7-May-19 08:30:00,18.44,14.454
76,7-May-19 08:45:00,18.44,14.455
77,7-May-19 09:00:00,18.50,14.453
78,7-May-19 09:15:00,18.56,14.455
79,7-May-19 09:30:00,18.63,14.457
80,7-May-19 09:45:00,18.63,14.458
81,7-May-19 10:00:00,18.69,14.461
82,7-May-19 10:15:00,18.75,14.461
83,7-May-19 10:30:00,18.81,14.457
84,7-May-19 10:45:00,18.88,14.464
85,7-May-19 11:00:00,19.00,14.463
86,7-May-19 11:15:00,19.06,14.461
87,7-May-19 11:30:00,19.13,14.460
88,7-May-19 11:45:00,19.25,14.459
89,7-May-19 12:00:00,19.31,14.461
90,7-May-19 12:15:00,19.31,14.457
91,7-May-19 12:30:00,19.44,14.455
92,7-May-19 12:45:00,19.50,14.451
93,7-May-19 13:00:00,19.63,14.448
94,7-May-19 13:15:00,19.63,14.447
95,7-May-19 13:30:00,19.75,14.446
96,7-May-19 13:45:00,19.75,14.446
97,7-May-19 14:00:00,19.69,14.446
98,7-May-19 14:15:00,19.69,14.444
99,7-May-19 14:30:00,19.63,14.437
100,7-May-19 14:45:00,19.69,14.437
101,7-May-19 15:00:00,19.75,14.434
102,7-May-19 15:15:00,19.88,14.432
103,7-May-19 15:30:00,19.94,14.430
104,7-May-19 15:45:00,20.00,14.426
105,7-May-19 16:00:00,19.88,14.428
106,7-May-19 16:15:00,19.88,14.423
107,7-May-19 16:30:00,19.81,14.425
108,7-May-19 16:45:00,19.75,14.431
109,7-May-19 17:00:00,19.69,14.431
110,7-May-19 17:15:00,19.75,14.430
111,7-May-19 17:30:00,19.69,14.434
112,7-May-19 17:45:00,19.75,14.432
113,7-May-19 18:00:00,19.75,14.431
114,7-May-19 18:15:00,19.75,14.430
115,7-May-19 18:30:00,19.69,14.433
116,7-May-19 18:45:00,19.63,14.428
117,7-May-19 19:00:00,19.63,14.431
118,7-May-19 19:15:00,19.63,14.434
119,7-May-19 19:30:00,19.56,14.432
120,7-May-19 19:45:00,19.56,14.433
121,7-May-19 20:00:00,19.56,14.430
122,7-May-19 20:15:00,19.50,14.434
123,7-May-19 20:30:00,19.50,14.433
124,7-May-19 20:45:00,19.44,14.435
125,7-May-19 21:00:00,19.44,14.436
126,7-May-19 21:15:00,19.38,14.435
127,7-May-19 21:30:00,19.38,14.436
128,7-May-19 21:45:00,19.31,14.436
129,7-May-19 22:00:00,19.31,14.439
130,7-May-19 22:15:00,19.25,14.438
131,7-May-19 22:30:00,19.25,14.441
132,7-May-19 22:45:00,19.19,14.439
133,7-May-19 23:00:00,19.19,14.438
134,7-May-19 23:15:00,19.19,14.439
135,7-May-19 23:30:00,19.13,14.437
136,7-May-19 23:45:00,19.13,14.435
137,8-May-19 00:00:00,19.06,14.436
138,8-May-19 00:15:00,19.06,14.440
139,8-May-19 00:30:00,19.06,14.436
140,8-May-19 00:45:00,19.00,14.436
141,8-May-19 01:00:00,19.00,14.434
142,8-May-19 01:15:00,19.00,14.431
143,8-May-19 01:30:00,19.00,14.432
144,8-May-19 01:45:00,18.94,14.434
145,8-May-19 02:00:00,18.94,14.430
146,8-May-19 02:15:00,18.94,14.429
147,8-May-19 02:30:00,18.94,14.427
148,8-May-19 02:45:00,18.88,14.424
149,8-May-19 03:00:00,18.88,14.424
150,8-May-19 03:15:00,18.88,14.424
151,8-May-19 03:30:00,18.88,14.424
152,8-May-19 03:45:00,18.81,14.423
153,8-May-19 04:00:00,18.81,14.416
154,8-May-19 04:15:00,18.81,14.418
155,8-May-19 04:30:00,18.75,14.418
156,8-May-19 04:45:00,18.75,14.419
157,8-May-19 05:00:00,18.69,14.416
158,8-May-19 05:15:00,18.69,14.419
159,8-May-19 05:30:00,18.69,14.419
160,8-May-19 05:45:00,18.63,14.417
161,8-May-19 06:00:00,18.63,14.420
162,8-May-19 06:15:00,18.63,14.422
163,8-May-19 06:30:00,18.63,14.425
164,8-May-19 06:45:00,18.63,14.426
165,8-May-19 07:00:00,18.56,14.429
166,8-May-19 07:15:00,18.63,14.431
167,8-May-19 07:30:00,18.63,14.431
168,8-May-19 07:45:00,18.63,14.427
169,8-May-19 08:00:00,18.69,14.431
170,8-May-19 08:15:00,18.69,14.432
171,8-May-19 08:30:00,18.75,14.430
172,8-May-19 08:45:00,18.75,14.432
173,8-May-19 09:00:00,18.75,14.435
174,8-May-19 09:15:00,18.81,14.434
175,8-May-19 09:30:00,18.88,14.434
176,8-May-19 09:45:00,18.94,14.434
177,8-May-19 10:00:00,19.00,14.435
178,8-May-19 10:15:00,19.00,14.433
179,8-May-19 10:30:00,19.13,14.437
180,8-May-19 10:45:00,19.19,14.435
181,8-May-19 11:00:00,19.25,14.433
182,8-May-19 11:15:00,19.38,14.437
183,8-May-19 11:30:00,19.50,14.437
184,8-May-19 11:45:00,19.56,14.432
185,8-May-19 12:00:00,19.69,14.429
186,8-May-19 12:15:00,19.81,14.429
187,8-May-19 12:30:00,19.94,14.426
188,8-May-19 12:45:00,20.00,14.423
189,8-May-19 13:00:00,20.06,14.419
190,8-May-19 13:15:00,20.13,14.417
191,8-May-19 13:30:00,20.25,14.413
192,8-May-19 13:45:00,20.31,14.411
193,8-May-19 14:00:00,20.38,14.409
194,8-May-19 14:15:00,20.56,14.408
195,8-May-19 14:30:00,20.69,14.406
196,8-May-19 14:45:00,20.75,14.402
197,8-May-19 15:00:00,20.69,14.399
198,8-May-19 15:15:00,20.75,14.399
199,8-May-19 15:30:00,20.75,14.392
200,8-May-19 15:45:00,20.81,14.392
201,8-May-19 16:00:00,20.81,14.390
202,8-May-19 16:15:00,20.81,14.389
203,8-May-19 16:30:00,20.75,14.389
204,8-May-19 16:45:00,20.81,14.390
205,8-May-19 17:00:00,20.81,14.389
206,8-May-19 17:15:00,20.81,14.389
207,8-May-19 17:30:00,20.81,14.390
208,8-May-19 17:45:00,20.81,14.389
209,8-May-19 18:00:00,20.75,14.391
210,8-May-19 18:15:00,20.81,14.389
211,8-May-19 18:30:00,20.75,14.391
212,8-May-19 18:45:00,20.75,14.391
213,8-May-19 19:00:00,20.69,14.393
214,8-May-19 19:15:00,20.69,14.397
215,8-May-19 19:30:00,20.63,14.398
216,8-May-19 19:45:00,20.63,14.399
217,8-May-19 20:00:00,20.56,14.402
218,8-May-19 20:15:00,20.50,14.404
219,8-May-19 20:30:00,20.50,14.403
220,8-May-19 20:45:00,20.44,14.409
221,8-May-19 21:00:00,20.38,14.411
222,8-May-19 21:15:00,20.31,14.411
223,8-May-19 21:30:00,20.31,14.412
224,8-May-19 21:45:00,20.25,14.415
225,8-May-19 22:00:00,20.25,14.418
226,8-May-19 22:15:00,20.19,14.416
227,8-May-19 22:30:00,20.19,14.417
228,8-May-19 22:45:00,20.13,14.417
229,8-May-19 23:00:00,20.06,14.419
230,8-May-19 23:15:00,20.06,14.414
231,8-May-19 23:30:00,20.00,14.418
232,8-May-19 23:45:00,20.00,14.421
233,9-May-19 00:00:00,19.94,14.423
234,9-May-19 00:15:00,19.88,14.424
235,9-May-19 00:30:00,19.88,14.428
236,9-May-19 00:45:00,19.88,14.427
237,9-May-19 01:00:00,19.81,14.427
238,9-May-19 01:15:00,19.81,14.426
239,9-May-19 01:30:00,19.81,14.426
240,9-May-19 01:45:00,19.81,14.424
241,9-May-19 02:00:00,19.75,14.424
242,9-May-19 02:15:00,19.75,14.425
243,9-May-19 02:30:00,19.75,14.424
244,9-May-19 02:45:00,19.75,14.425
245,9-May-19 03:00:00,19.69,14.423
246,9-May-19 03:15:00,19.69,14.421
247,9-May-19 03:30:00,19.69,14.421
248,9-May-19 03:45:00,19.63,14.420
249,9-May-19 04:00:00,19.63,14.418
250,9-May-19 04:15:00,19.56,14.421
251,9-May-19 04:30:00,19.56,14.422
252,9-May-19 04:45:00,19.56,14.422
