
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20190318,,Exported,"Aqua4Plus 1.9.10"
# Records,  2685 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-2.75,13.650,
,Maximum,27.31,14.095,
,Mean,11.67,13.918,
,Variance,39.053,0.0090,
,Std Deviation,6.249,0.0948,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,18-Mar-19 12:00:00,12.00,13.970
2,18-Mar-19 12:15:00,10.38,13.971
3,18-Mar-19 12:30:00,11.06,13.970
4,18-Mar-19 12:45:00,10.69,13.968
5,18-Mar-19 13:00:00,10.31,13.967
6,18-Mar-19 13:15:00,10.31,13.966
7,18-Mar-19 13:30:00,9.88,13.966
8,18-Mar-19 13:45:00,9.63,13.968
9,18-Mar-19 14:00:00,9.88,13.967
10,18-Mar-19 14:15:00,9.44,13.966
11,18-Mar-19 14:30:00,9.25,13.965
12,18-Mar-19 14:45:00,9.19,13.963
13,18-Mar-19 15:00:00,9.31,13.966
14,18-Mar-19 15:15:00,9.31,13.967
15,18-Mar-19 15:30:00,9.50,13.965
16,18-Mar-19 15:45:00,9.69,13.969
17,18-Mar-19 16:00:00,9.69,13.968
18,18-Mar-19 16:15:00,9.63,13.969
19,18-Mar-19 16:30:00,9.31,13.972
20,18-Mar-19 16:45:00,9.06,13.975
21,18-Mar-19 17:00:00,9.06,13.975
22,18-Mar-19 17:15:00,9.00,13.980
23,18-Mar-19 17:30:00,9.00,13.979
24,18-Mar-19 17:45:00,8.88,13.983
25,18-Mar-19 18:00:00,8.31,13.986
26,18-Mar-19 18:15:00,7.88,13.990
