Reservoir,Site,Date,Depth_m,Temp_C,pH,Fe_mgL,Mn_mgL,DO_mgL,Turbidity,Color,Algae_cellsmL,Odor
FCR,50,23-Jan-13,0,2.8,6.77,0.5,0.021,11.74,2.14,37,352000,8
FCR,50,23-Jan-13,1.524,2.8,6.7,0.51,0.021,12.1,2.26,38,363000,8
FCR,50,23-Jan-13,3.6576,3,6.57,0.52,0.022,11.92,2.19,40,330000,8
FCR,50,23-Jan-13,6.096,3.3,6.42,0.53,0.021,11.99,2.15,36,396000,6
FCR,50,21-Feb-13,0,2.8,6.58,0.52,0.038,11.5,3.82,55,198000,12
FCR,50,21-Feb-13,1.524,2.7,6.7,0.54,0.024,11.17,3.76,53,693000,8
FCR,50,21-Feb-13,3.6576,2.6,6.8,0.54,0.03,11.19,3.73,55,495000,12
FCR,50,21-Feb-13,6.096,3.1,6.8,0.59,0.035,10.8,4.21,55,660000,12
FCR,50,7-Mar-13,0,3.3,6.9,0.49,0.01,11.16,2.84,24,407000,24
FCR,50,7-Mar-13,1.524,3.4,7,0.48,0.01,11.13,2.72,26,407000,12
FCR,50,7-Mar-13,3.6576,3.6,7.05,0.54,0.01,11.04,2.79,62,561000,17
FCR,50,7-Mar-13,6.096,4.7,7.06,1.04,0.01,10.59,4.39,58,605000,8
FCR,50,21-Mar-13,0,4.9,7.3,0.5,0.02,9.54,2.39,43,616000,4
FCR,50,21-Mar-13,1.524,5.6,7.3,0.49,0.02,9.69,2.41,41,517000,4
FCR,50,21-Mar-13,3.6576,6.4,7.3,0.51,0.03,9.67,2.46,40,451000,6
FCR,50,21-Mar-13,6.096,6.5,7.4,0.55,0.02,9.14,2.53,55,451000,3
FCR,50,4-Apr-13,0,8.3,7.3,0.47,0.004,11.7,1.73,37,550000,4
FCR,50,4-Apr-13,1.524,7.9,7.2,0.48,0.01,11.4,1.77,39,506000,3
FCR,50,4-Apr-13,3.6576,6.6,7.3,0.44,0,11.5,1.95,40,396000,6
FCR,50,4-Apr-13,6.096,6.3,6.6,0.46,0.002,11,1.95,39,363000,3
FCR,50,11-Apr-13,0,12.4,6.85,0.38,0.015,9.53,1.42,15,407000,3
FCR,50,11-Apr-13,1.524,9.9,6.86,0.36,0.019,9.58,1.41,12,561000,2
FCR,50,11-Apr-13,3.6576,8.1,6.84,0.37,0.018,9.7,1.43,15,363000,3
FCR,50,11-Apr-13,6.096,7.5,6.86,0.32,0.011,9.5,1.45,20,462000,2
FCR,50,18-Apr-13,0,17.1,7.15,0.47,0.029,8.03,1.54,28,341000,3
FCR,50,18-Apr-13,1.524,10.9,7.18,0.35,0.016,9.86,1.37,22,737000,3
FCR,50,18-Apr-13,3.6576,8.2,7.23,0.32,0.014,9.42,1.24,25,605000,2
FCR,50,18-Apr-13,6.096,7.7,7.19,0.34,0.019,8.74,1.28,29,660000,1.9
FCR,50,25-Apr-13,0,15.8,6.8,0.51,0.021,8.84,1.3,59,803000,1.9
FCR,50,25-Apr-13,1.524,13.8,6.63,0.41,0.02,9.57,1.31,34,682000,1.9
FCR,50,25-Apr-13,3.6576,9.4,6.4,0.36,0.019,9.99,1.46,31,792000,1.9
FCR,50,25-Apr-13,6.096,7.7,6.3,0.38,0.025,8.8,1.48,31,638000,1.9
FCR,50,4-Oct-13,0,19.4,6.7,0.51,0.022,8.18,1.53,32,869000,3
FCR,50,4-Oct-13,1.524,18,6.7,0.89,0.066,6.28,3.36,58,682000,3
FCR,50,4-Oct-13,3.6576,13.8,6.5,1.06,0.974,9.1,6.3,98,1441000,1.9
FCR,50,4-Oct-13,6.096,13.5,6.7,1.25,1.062,8.48,7.19,114,1881000,2
FCR,50,10-Oct-13,0,18.1,7.1,0.5,0.023,8.07,1.8,29,1606000,1.9
FCR,50,10-Oct-13,1.524,18,7,0.51,0.033,8.24,1.79,40,1188000,3
FCR,50,10-Oct-13,3.6576,14.6,6.8,0.76,0.637,9.34,3.81,31,1353000,1.9
FCR,50,10-Oct-13,6.096,12.9,6.8,1.21,1.138,8.83,5.89,79,1078000,1.9
FCR,50,17-Oct-13,0,18.5,7.6,0.52,0.04,8.14,1.69,41,1650000,1.9
FCR,50,17-Oct-13,1.524,17.9,7.6,0.7,0.044,7.28,2.39,62,1232000,3
FCR,50,17-Oct-13,3.6576,14.8,6.4,1.01,1.2,7.7,5.16,88,1826000,1.9
FCR,50,17-Oct-13,6.096,14.5,6.4,1.12,1.456,7.67,5.67,107,1636000,1.9
FCR,50,24-Oct-13,0,14.3,7.34,0.64,0.084,8.76,2.63,45,1276000,6
FCR,50,24-Oct-13,1.524,13.5,7.37,0.64,0.073,8.79,2.68,45,1210000,3
FCR,50,24-Oct-13,3.6576,11.8,6.87,0.95,1.048,9.84,5.47,69,715000,2
FCR,50,24-Oct-13,6.096,12.3,6.7,1,0.968,10.23,5.73,79,671000,2
FCR,50,28-Oct-13,0,13.2,6.6,0.56,0.155,9.14,2.71,60,,
FCR,50,28-Oct-13,1.524,12.9,6.5,0.54,0.152,9.26,2.49,60,,
FCR,50,28-Oct-13,3.6576,12.8,6.6,0.53,0.146,9.29,2.53,99,,
FCR,50,28-Oct-13,6.096,12.5,6.7,0.59,0.142,9.33,2.78,73,,
FCR,50,7-Nov-13,0,12.2,7.33,0.3,0.052,8.78,1.54,31,1771000,3
FCR,50,7-Nov-13,1.524,12,7.29,0.32,0.059,8.79,1.47,17,1463000,2
