"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"machine_blank_1","Unknown",-0.006,-0.007,-0.008,-0.007,-0.002,-0.005,-0.002,-0.000,""
"machine_blank_2","Unknown",0.000,-0.001,-0.002,-0.001,0.004,0.000,0.004,0.006,""
"ethanol_at_start","Unknown",-0.002,-0.003,-0.004,-0.004,0.002,-0.002,-0.001,-0.000,""
"ethanol_at_start_b","Unknown",0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,""
"ethanol_at_start_a","Unknown",-0.003,-0.006,-0.006,-0.005,-0.006,-0.006,-0.008,-0.012,""
"1_b","Unknown",-0.004,-0.006,-0.006,-0.005,-0.005,-0.006,-0.008,-0.011,""
"1_a","Unknown",-0.003,-0.005,-0.005,-0.005,-0.005,-0.005,-0.007,-0.011,""
"2_b","Unknown",-0.005,-0.006,-0.005,-0.005,-0.005,-0.006,-0.008,-0.010,""
"2_a","Unknown",-0.004,-0.007,-0.006,-0.006,-0.006,-0.006,-0.008,-0.011,""
"3_b","Unknown",-0.005,-0.007,-0.007,-0.006,-0.006,-0.007,-0.008,-0.011,""
"3_acid","Unknown",-0.004,-0.007,-0.007,-0.006,-0.006,-0.007,-0.009,-0.012,""
"4_before","Unknown",-0.004,0.035,0.035,0.035,0.007,0.004,0.016,0.045,""
"4_acid","Unknown",-0.003,0.019,0.019,0.018,0.002,-0.002,0.014,0.050,""
"5_before","Unknown",-0.004,0.023,0.023,0.023,0.004,0.001,0.011,0.030,""
"5_acid","Unknown",-0.004,0.012,0.012,0.012,-0.000,-0.003,0.009,0.033,""
"6_before","Unknown",-0.003,0.003,0.003,0.003,-0.001,-0.002,0.002,0.009,""
"6_acid","Unknown",-0.002,0.000,0.000,0.001,-0.002,-0.003,0.000,0.008,""
"7_before","Unknown",-0.003,0.027,0.027,0.027,0.006,0.003,0.015,0.039,""
"7_acid","Unknown",-0.003,0.015,0.014,0.014,0.001,-0.002,0.013,0.043,""
"8_before","Unknown",-0.003,0.002,0.003,0.003,-0.001,-0.003,0.002,0.013,""
"8_acid","Unknown",-0.003,0.000,0.000,0.001,-0.002,-0.004,0.001,0.011,""
"9_before","Unknown",-0.003,0.010,0.010,0.010,0.001,-0.000,0.003,0.012,""
"9_acid","Unknown",-0.003,0.004,0.004,0.005,-0.001,-0.002,0.003,0.014,""
"10_before","Unknown",-0.004,0.008,0.008,0.008,-0.000,-0.002,0.005,0.015,""
"10_acid","Unknown",-0.003,0.003,0.004,0.004,-0.002,-0.003,0.004,0.015,""
"11_before","Unknown",0.001,0.033,0.033,0.033,0.012,0.010,0.025,0.050,""
"11_acid","Unknown",0.002,0.021,0.021,0.020,0.008,0.005,0.022,0.054,""
"12_before","Unknown",-0.000,0.030,0.030,0.030,0.009,0.006,0.025,0.045,""
"12_acid","Unknown",-0.000,0.018,0.018,0.018,0.005,0.001,0.022,0.047,""
"13_before","Unknown",-0.001,0.009,0.009,0.010,0.002,0.001,0.009,0.017,""
"13_acid","Unknown",-0.001,0.005,0.005,0.005,-0.000,-0.001,0.008,0.017,""
"14_before","Unknown",0.000,0.012,0.012,0.012,0.003,0.002,0.008,0.018,""
"14_acid","Unknown",0.001,0.008,0.008,0.008,0.003,0.001,0.007,0.018,""
"15_before","Unknown",0.000,0.032,0.032,0.032,0.009,0.006,0.024,0.045,""
"15_acid","Unknown",-0.000,0.019,0.019,0.019,0.005,0.001,0.022,0.047,""
"16_before","Unknown",0.001,0.025,0.025,0.025,0.008,0.007,0.029,0.042,""
"16_acid","Unknown",0.000,0.015,0.015,0.015,0.005,0.003,0.028,0.043,""
"17_before","Unknown",-0.001,0.034,0.034,0.033,0.009,0.005,0.027,0.046,""
"17_acid","Unknown",-0.001,0.021,0.020,0.020,0.005,0.001,0.024,0.050,""
"18_before","Unknown",-0.001,0.030,0.030,0.030,0.008,0.005,0.023,0.042,""
"18_acid","Unknown",-0.001,0.018,0.018,0.018,0.004,0.001,0.020,0.044,""
"19_before","Unknown",-0.002,0.030,0.030,0.030,0.007,0.005,0.016,0.037,""
"19_acid","Unknown",-0.002,0.017,0.017,0.016,0.003,-0.001,0.013,0.042,""
"20_before","Unknown",-0.002,0.020,0.020,0.019,0.004,0.002,0.011,0.027,""
"20_acid","Unknown",-0.001,0.011,0.011,0.011,0.001,-0.001,0.009,0.029,""
"21_before","Unknown",-0.001,0.032,0.032,0.032,0.009,0.006,0.018,0.042,""
"21_acid","Unknown",-0.001,0.019,0.019,0.018,0.005,0.001,0.016,0.046,""
"22_before","Unknown",-0.001,0.039,0.040,0.039,0.011,0.008,0.022,0.051,""
"22_acid","Unknown",-0.001,0.023,0.023,0.023,0.005,0.001,0.020,0.057,""
"23_before","Unknown",-0.000,0.032,0.033,0.032,0.009,0.006,0.026,0.046,""
"23_acid","Unknown",-0.000,0.020,0.020,0.019,0.005,0.001,0.023,0.049,""
"24_before","Unknown",-0.001,0.012,0.012,0.012,0.002,0.001,0.006,0.014,""
"24_acid","Unknown",-0.001,0.006,0.006,0.007,0.000,-0.001,0.005,0.015,""
"BN_known_before","Unknown",-0.002,0.057,0.057,0.057,0.019,0.009,0.024,0.080,""
"BN_known_acid","Unknown",-0.001,0.041,0.040,0.040,0.013,0.004,0.022,0.080,""
