Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,50,2013-04-11,0.1,NA,27,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,0.1,NA,26,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,0.1,NA,27.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,0.1,NA,35.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,0.1,NA,21.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-16,0.1,NA,23.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-05-16,0.1,NA,49.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-23,0.1,NA,25.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-05-23,0.1,NA,32.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,0.1,NA,22.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-05-30,0.1,NA,36.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,0.1,NA,28.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,0.1,NA,21.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-06-13,0.1,NA,35.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,0.1,NA,36.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-27,0.1,NA,23.2,7,6,3,NA,0,0,0,0,0,0
FCR,100,2013-06-27,0.1,NA,41.4,0,91,15,NA,0,0,3,0,0,0
FCR,50,2013-07-03,0.1,NA,38.9,20,26,4,NA,0,0,0,0,0,0
FCR,100,2013-07-03,0.1,NA,68.9,12,30,11,NA,0,0,0,0,0,0
FCR,50,2013-07-11,0.1,NA,55.5,25,18,4,NA,0,0,0,0,0,0
FCR,100,2013-07-11,0.1,NA,48.8,11,31,10,NA,0,0,0,0,0,0
FCR,50,2013-07-15,0.1,NA,29.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-07-15,0.1,NA,35,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-07-18,0.1,NA,NA,21,129,11,NA,0,0,0,0,0,0
FCR,50,2013-07-19,0.1,NA,43,19,23,5,NA,0,0,0,0,0,0
FCR,100,2013-07-19,0.1,NA,44.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,0.1,NA,32.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-25,0.1,NA,36.2,12,9,6,NA,0,0,0,0,0,0
FCR,100,2013-07-25,0.1,NA,59.8,13,58,12,NA,0,0,0,0,0,0
FCR,50,2013-07-29,0.1,NA,23.9,3,6,3,NA,0,0,0,0,0,0
FCR,100,2013-07-29,0.1,NA,52.6,0,66,13,NA,0,0,3,0,0,0
FCR,50,2013-08-01,0.1,NA,51,5,4,4,NA,0,0,0,0,0,0
FCR,100,2013-08-01,0.1,NA,79.3,7,56,13,NA,0,0,0,0,0,0
FCR,50,2013-08-05,0.1,NA,43.5,2,4,4,NA,0,0,0,0,0,0
FCR,100,2013-08-05,0.1,NA,36.4,17,70,14,NA,0,0,0,0,0,0
FCR,50,2013-08-08,0.1,NA,43.7,17,10,4,NA,0,0,0,0,0,0
FCR,100,2013-08-08,0.1,NA,61.7,7,66,16,NA,0,0,0,0,0,0
FCR,50,2013-08-12,0.1,NA,23.5,7,4,3,NA,0,0,0,0,0,0
FCR,100,2013-08-12,0.1,NA,36.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-08-14,0.1,NA,NA,17,78,16,NA,0,0,0,0,0,0
FCR,50,2013-08-15,0.1,NA,37.6,7,2,4,NA,0,0,0,0,0,0
FCR,100,2013-08-15,0.1,NA,52.2,8,62,15,NA,0,0,0,0,0,0
FCR,50,2013-08-21,0.1,NA,23.7,8,5,4,NA,0,0,0,0,0,0
FCR,100,2013-08-21,0.1,NA,44.9,24,62,14,NA,0,0,0,0,0,0
FCR,100,2013-09-04,0.1,NA,42.7,11,80,18,NA,0,0,0,0,0,0
FCR,50,2013-09-05,0.1,NA,NA,16,5,4,NA,0,0,0,0,0,0
FCR,50,2013-09-11,0.1,NA,24.8,5,3,1,NA,0,0,0,0,0,0
FCR,100,2013-09-11,0.1,NA,68.7,7,26,14,NA,0,0,0,0,0,0
FCR,50,2013-09-18,0.1,NA,16.1,6,6,4,NA,0,0,0,0,0,0
FCR,100,2013-09-18,0.1,NA,40.8,7,18,10,NA,0,0,0,0,0,0
FCR,50,2013-09-25,0.1,NA,27.1,13,4,5,NA,0,0,0,0,0,0
FCR,100,2013-09-25,0.1,NA,46.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-09-28,0.1,NA,NA,12,23,10,NA,0,0,0,0,0,0
FCR,50,2013-10-09,0.1,NA,42.5,13,4,7,NA,0,0,0,0,0,0
FCR,100,2013-10-09,0.1,NA,NA,21,19,10,NA,0,0,0,0,0,0
FCR,50,2013-10-16,0.1,NA,24.5,10,4,5,NA,0,0,0,0,0,0
FCR,100,2013-10-16,0.1,NA,NA,8,4,9,NA,0,0,0,0,0,0
FCR,50,2013-10-23,0.1,NA,36,8,5,5,NA,0,0,0,0,0,0
FCR,100,2013-10-23,0.1,NA,NA,9,4,9,NA,0,0,0,0,0,0
FCR,50,2013-10-30,0.1,NA,28,20,7,4,NA,0,0,0,0,0,0
FCR,100,2013-10-30,0.1,NA,NA,14,8,16,NA,0,0,0,0,0,0
FCR,50,2013-11-06,0.1,NA,11.2,47,10,4,NA,0,0,0,0,0,0
FCR,100,2013-11-06,0.1,NA,NA,8,11,10,NA,0,0,0,0,0,0
FCR,50,2013-11-20,0.1,NA,NA,32,16,5,NA,0,0,0,0,0,0
FCR,50,2013-12-04,0.1,NA,NA,24,4,4,NA,0,0,0,0,0,0
FCR,50,2014-01-15,0.1,NA,NA,15,16,1,NA,0,0,0,0,0,0
FCR,50,2014-02-24,0.1,NA,NA,28,7,3,NA,0,0,0,0,0,0
FCR,50,2014-03-07,0.1,NA,NA,14,5,3,NA,0,0,0,0,0,0
FCR,50,2014-03-20,0.1,150,21.2,45,3,3,NA,0,0,0,0,0,0
FCR,50,2014-04-01,0.1,147,15.6,10,3,2,NA,0,0,0,0,0,0
FCR,100,2014-04-01,0.1,NA,NA,9,73,7,NA,0,0,0,0,0,0
