Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,50,2013-04-04,0.8,NA,32.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-04,1.6,NA,30.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-04,2.8,NA,35.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-04,5,NA,35.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-04,6.2,NA,42.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-04,8,NA,47.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,0.1,NA,27,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,0.8,NA,31.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,1.6,NA,60.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,2.8,NA,45.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,3.8,NA,27,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,5,NA,30.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,6.2,NA,52.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-11,8,NA,41.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,0.1,NA,26,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,0.8,NA,32.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,1.6,NA,36.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,2.8,NA,24.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,3.8,NA,35,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,5,NA,26.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,6.2,NA,24,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-18,8,NA,30.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,0.1,NA,27.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,0.8,NA,27.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,1.6,NA,31.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,2.8,NA,49.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,3.8,NA,24,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,5,NA,24,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,6.2,NA,33.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-04-25,8,NA,39.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,0.1,NA,35.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,0.8,NA,70.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,1.6,NA,46.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,2.8,NA,23.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,3.8,NA,18.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,5,NA,23.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,6.2,NA,18.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-02,8,NA,28.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,0.1,NA,21.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,0.8,NA,20.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,1.6,NA,26.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,2.8,NA,31.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,3.8,NA,21.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,5,NA,35.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,6.2,NA,28,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-09,8,NA,24.5,NA,NA,NA,NA,0,0,0,0,0,0
