Site,lat,lon,chla_ugL
B01,37.314783,-79.820864,2.0048
B100,37.31957,-79.82437,0.2864
B20 ,37.3170135,-79.8226419,1.66112
B200,37.322851,-79.81721,1.336533333
B30,37.31921,-79.818226,2.0048
B45,37.314465,-79.818717,2.69216
B50,37.31288,-79.81593,2.69216
F01,37.30247,-79.83692,1.31744
F100,37.30858,-79.83494,1.1456
F101,37.309653,-79.830467,1.48928
F102,37.311678,-79.827357,2.0048
F20,37.30769,-79.8371,1.83296
F200,37.30943,-79.83619,0.654628571
F30,37.30534,-79.83825,2.0048
F45,37.30418,-79.83833,2.0048
F50,37.30325,-79.83726,2.0048
F99,37.307613,-79.8360878,0.654628571
