Site,lat,lon,chla_ugL
B01,37.314783,-79.820864,1.669302857
B100,37.31957,-79.82437,0.08592
B20 ,37.3170135,-79.8226419,2.06208
B200,37.322851,-79.81721,1.20288
B30,37.31921,-79.818226,2.2912
B45,37.314465,-79.818717,1.83296
B50,37.31288,-79.81593,1.49426087
F01,37.30247,-79.83692,1.996121212
F100,37.30858,-79.83494,0.25776
F101,37.309653,-79.830467,0.17184
F102,37.311678,-79.827357,0.25776
F20,37.30769,-79.8371,18.21504
F200,37.30943,-79.83619,1.1456
F30,37.30534,-79.83825,17.184
F45,37.30418,-79.83833,14.09088
F50,37.30325,-79.83726,15.4656
F99,37.307613,-79.8360878,0.17184
