Site,lat,long,chla_ugL
B01,37.314783,-79.820864,9.96672
B01,37.314783,-79.820864,10.74
B20,37.3170135,-79.8226419,13.7472
B20,37.3170135,-79.8226419,11.68512
B30,37.31921,-79.818226,13.7472
B30,37.31921,-79.818226,14.77824
B45,37.314465,-79.818717,8.592
B45,37.314465,-79.818717,8.93568
B50,37.31288,-79.81593,10.10823529
B50,37.31288,-79.81593,10.16097391
F20,37.30769,-79.8371,24.74496
F20,37.30769,-79.8371,25.08864
F30,37.30534,-79.83825,26.46336
F30,37.30534,-79.83825,26.46336
F45,37.30418,-79.83833,23.82848
F45,37.30418,-79.83833,17.87136
F50,37.30325,-79.83726,29.40373333
F50,37.30325,-79.83726,25.96693333
