Site,lat,lon,NH4_ppb
B01,37.314783,-79.820864,5.29
B100,37.31957,-79.82437,21.6
B20 ,37.3170135,-79.8226419,6.58
B200,37.322851,-79.81721,37.5
B30,37.31921,-79.818226,1.94
B45,37.314465,-79.818717,6.09
B50,37.31288,-79.81593,5.18
F01,37.30247,-79.83692,9.24
F100,37.30858,-79.83494,3.1
F101,37.309653,-79.830467,6.34
F102,37.311678,-79.827357,4.84
F20,37.30769,-79.8371,4.15
F200,37.30943,-79.83619,27.4
F30,37.30534,-79.83825,3.45
F45,37.30418,-79.83833,11.2
F50,37.30325,-79.83726,13.5
F99,37.307613,-79.8360878,6.95
