Site,lat,lon,PO4_ppb
B01,37.314783,-79.820864,0.543
B100,37.31957,-79.82437,4.75
B20 ,37.3170135,-79.8226419,0.983
B200,37.322851,-79.81721,2.12
B30,37.31921,-79.818226,0.728
B45,37.314465,-79.818717,1.88
B50,37.31288,-79.81593,0.519
F01,37.30247,-79.83692,4.59
F100,37.30858,-79.83494,7.11
F101,37.309653,-79.830467,5.22
F102,37.311678,-79.827357,2.23
F20,37.30769,-79.8371,2.65
F200,37.30943,-79.83619,5.62
F30,37.30534,-79.83825,1.24
F45,37.30418,-79.83833,2.27
F50,37.30325,-79.83726,2.39
F99,37.307613,-79.8360878,5.51
