Site,lat,lon,NO3NO2_ppb,,,,,,,,,,
B01,37.314783,-79.820864,9.64,,,,,,,,,,
B100,37.31957,-79.82437,28.1,,,,,,,,,,
B20 ,37.3170135,-79.8226419,1.61,,,,,,,,,,
B200,37.322851,-79.81721,56.1,,,,,,,,,,
B30,37.31921,-79.818226,,,,,,,,,,,
B45,37.314465,-79.818717,0.841,,,,,,,,,,
B50,37.31288,-79.81593,5.18,,,,,,,,,,
F01,37.30247,-79.83692,264,,,,,,,,,,
F100,37.30858,-79.83494,172,,,,,,,,,,
F101,37.309653,-79.830467,144,,,,,,,,,,
F102,37.311678,-79.827357,127,,,,,,,,,,
F20,37.30769,-79.8371,0.325,,,,,,,,,,
F200,37.30943,-79.83619,31.6,,,,,,,,,,
F30,37.30534,-79.83825,7.74,,,,,,,,,,
F45,37.30418,-79.83833,1.15,,,,,,,,,,
F50,37.30325,-79.83726,9.73,,,,,,,,,,
F99,37.307613,-79.8360878,159,,,,,,,,,,
