Site,lat,lon,NH4_ppb
B01,37.314783,-79.820864,3.42
B100,37.31957,-79.82437,29.2
B20 ,37.3170135,-79.8226419,3.65
B200,37.322851,-79.81721,56.3
B30,37.31921,-79.818226,7.84
B45,37.314465,-79.818717,4.09
B50,37.31288,-79.81593,4.74
F01,37.30247,-79.83692,16.6
F100,37.30858,-79.83494,4.44
F101,37.309653,-79.830467,7.64
F102,37.311678,-79.827357,23.8
F20,37.30769,-79.8371,
F200,37.30943,-79.83619,27.3
F30,37.30534,-79.83825,2.36
F45,37.30418,-79.83833,2.71
F50,37.30325,-79.83726,7.07
F99,37.307613,-79.8360878,4.48
